dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
SelfRegulationSCP1,stl_linear,10,1,0.0,True,0,0.5983132979219085,0.648,0.0432,0.6912,ok
SelfRegulationSCP1,stl_tree,10,1,0.0,True,0,0.6358214518684185,2.3659,0.0432,2.4091,ok
SelfRegulationSCP1,stl_linear,10,1,0.0,True,1,0.7923073338924611,0.6691,0.021,0.6901,ok
SelfRegulationSCP1,stl_tree,10,1,0.0,True,1,0.8093141366135495,0.272,0.021,0.293,ok
SelfRegulationSCP1,stl_linear,10,1,0.0,True,2,0.7072034293169323,0.6748,0.0162,0.691,ok
SelfRegulationSCP1,stl_tree,10,1,0.0,True,2,0.7918646910819123,0.2491,0.0162,0.2653,ok
SelfRegulationSCP1,stl_linear,10,1,0.0,True,3,0.8975864318330071,0.6447,0.0138,0.6585,ok
SelfRegulationSCP1,stl_tree,10,1,0.0,True,3,0.812552418227565,0.2443,0.0138,0.2581,ok
SelfRegulationSCP1,stl_linear,10,1,0.0,True,4,0.7209486534339763,0.6566,0.0149,0.6715,ok
SelfRegulationSCP1,stl_tree,10,1,0.0,True,4,0.652828254589507,0.2302,0.0149,0.2451,ok
SelfRegulationSCP1,stl_linear,10,1,0.0,True,5,0.6393625943528096,0.7919,0.016,0.8079,ok
SelfRegulationSCP1,stl_tree,10,1,0.0,True,5,0.7277513745224117,0.2362,0.016,0.2522,ok
SelfRegulationSCP1,stl_linear,10,1,0.0,True,6,0.7378622681949492,0.6388,0.0126,0.6514,ok
SelfRegulationSCP1,stl_tree,10,1,0.0,True,6,0.6967663777839903,0.2287,0.0126,0.2413,ok
SelfRegulationSCP1,stl_linear,10,1,0.0,True,7,0.7414034106793402,0.6133,0.0158,0.6291,ok
SelfRegulationSCP1,stl_tree,10,1,0.0,True,7,0.7990634610008387,0.2307,0.0158,0.2465,ok
SelfRegulationSCP1,stl_linear,10,1,0.0,True,8,0.6291818097101854,0.7244,0.0171,0.7415,ok
SelfRegulationSCP1,stl_tree,10,1,0.0,True,8,0.7241636380579629,0.2353,0.0171,0.2524,ok
SelfRegulationSCP1,stl_linear,10,1,0.0,True,9,0.83319355139316,0.7463,0.016,0.7623,ok
SelfRegulationSCP1,stl_tree,10,1,0.0,True,9,0.7920044730220855,0.2417,0.016,0.2577,ok
