dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
SelfRegulationSCP1,stl_linear,100,1,0.0,True,0,0.8633398564905415,5.9523,0.1539,6.1062,ok
SelfRegulationSCP1,stl_tree,100,1,0.0,True,0,0.7719224676171839,2.6889,0.1539,2.8428,ok
SelfRegulationSCP1,stl_linear,100,1,0.0,True,1,0.7448047712235579,7.8543,0.1641,8.0184,ok
SelfRegulationSCP1,stl_tree,100,1,0.0,True,1,0.7073199142670767,0.626,0.1641,0.7901,ok
SelfRegulationSCP1,stl_linear,100,1,0.0,True,2,0.8805796291119188,5.1675,0.1878,5.3553,ok
SelfRegulationSCP1,stl_tree,100,1,0.0,True,2,0.7752772341813438,0.6249,0.1878,0.8127,ok
SelfRegulationSCP1,stl_linear,100,1,0.0,True,3,0.8977728077532383,4.1832,0.1625,4.3457,ok
SelfRegulationSCP1,stl_tree,100,1,0.0,True,3,0.8159770757618117,0.5587,0.1625,0.7212,ok
SelfRegulationSCP1,stl_linear,100,1,0.0,True,4,0.8432811480756686,7.6802,0.1719,7.8521,ok
SelfRegulationSCP1,stl_tree,100,1,0.0,True,4,0.7855279097940546,0.5835,0.1719,0.7554,ok
SelfRegulationSCP1,stl_linear,100,1,0.0,True,5,0.7481595377877178,4.7419,0.1491,4.891,ok
SelfRegulationSCP1,stl_tree,100,1,0.0,True,5,0.7785388127853881,0.6534,0.1491,0.8025,ok
SelfRegulationSCP1,stl_linear,100,1,0.0,True,6,0.856956481222626,4.2243,0.1766,4.4009,ok
SelfRegulationSCP1,stl_tree,100,1,0.0,True,6,0.7888127853881278,0.6398,0.1766,0.8164,ok
SelfRegulationSCP1,stl_linear,100,1,0.0,True,7,0.8906672257944274,4.4055,0.1422,4.5477,ok
SelfRegulationSCP1,stl_tree,100,1,0.0,True,7,0.8058661820892741,0.5985,0.1422,0.7407,ok
SelfRegulationSCP1,stl_linear,100,1,0.0,True,8,0.8433743360357842,5.6116,0.1488,5.7604,ok
SelfRegulationSCP1,stl_tree,100,1,0.0,True,8,0.7685677010530239,0.6231,0.1488,0.7719,ok
SelfRegulationSCP1,stl_linear,100,1,0.0,True,9,0.9044823408815581,3.6622,0.137,3.7992,ok
SelfRegulationSCP1,stl_tree,100,1,0.0,True,9,0.7753005311713727,0.589,0.137,0.726,ok
