dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
SelfRegulationSCP1,stl_linear,1000,1,0.0,True,0,0.870095983598919,2.9026,1.5907,4.4933,ok
SelfRegulationSCP1,stl_tree,1000,1,0.0,True,0,0.771899170627155,5.853,1.5907,7.4437,ok
SelfRegulationSCP1,stl_linear,1000,1,0.0,True,1,0.8769452986674122,2.583,1.4891,4.0721,ok
SelfRegulationSCP1,stl_tree,1000,1,0.0,True,1,0.6998182834777746,3.5344,1.4891,5.0235,ok
SelfRegulationSCP1,stl_linear,1000,1,0.0,True,2,0.904505637871587,2.0868,1.4364,3.5232,ok
SelfRegulationSCP1,stl_tree,1000,1,0.0,True,2,0.7650964495387196,3.6416,1.4364,5.078,ok
SelfRegulationSCP1,stl_linear,1000,1,0.0,True,3,0.9113083589600224,2.2376,1.2646,3.5022,ok
SelfRegulationSCP1,stl_tree,1000,1,0.0,True,3,0.7784456248252726,3.4055,1.2646,4.6701,ok
SelfRegulationSCP1,stl_linear,1000,1,0.0,True,4,0.863619420370888,2.2498,1.3293,3.5791,ok
SelfRegulationSCP1,stl_tree,1000,1,0.0,True,4,0.7889991613083589,3.4784,1.3293,4.8077,ok
SelfRegulationSCP1,stl_linear,1000,1,0.0,True,5,0.8706318143695835,2.8535,1.2689,4.1224,ok
SelfRegulationSCP1,stl_tree,1000,1,0.0,True,5,0.8160469667318982,3.494,1.2689,4.7629,ok
SelfRegulationSCP1,stl_linear,1000,1,0.0,True,6,0.8872891622402386,2.4861,1.3252,3.8113,ok
SelfRegulationSCP1,stl_tree,1000,1,0.0,True,6,0.8026046034852297,3.4264,1.3252,4.7516,ok
SelfRegulationSCP1,stl_linear,1000,1,0.0,True,7,0.8803932531916876,3.1462,1.4082,4.5544,ok
SelfRegulationSCP1,stl_tree,1000,1,0.0,True,7,0.7516074923119933,3.5609,1.4082,4.9691,ok
SelfRegulationSCP1,stl_linear,1000,1,0.0,True,8,0.8738235020035412,2.4687,1.2863,3.755,ok
SelfRegulationSCP1,stl_tree,1000,1,0.0,True,8,0.7446649892833845,3.4826,1.2863,4.7689,ok
SelfRegulationSCP1,stl_linear,1000,1,0.0,True,9,0.8873590532103253,2.1795,1.3014,3.4809,ok
SelfRegulationSCP1,stl_tree,1000,1,0.0,True,9,0.6861662473208462,3.6255,1.3014,4.9269,ok
