dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
SelfRegulationSCP2,stl_linear,10,1,0.0,True,0,0.5,0.6059,0.0311,0.637,ok
SelfRegulationSCP2,stl_tree,10,1,0.0,True,0,0.5111111111111111,2.3331,0.0311,2.3642,ok
SelfRegulationSCP2,stl_linear,10,1,0.0,True,1,0.46111111111111114,0.4491,0.0165,0.4656,ok
SelfRegulationSCP2,stl_tree,10,1,0.0,True,1,0.5444444444444444,0.2518,0.0165,0.2683,ok
SelfRegulationSCP2,stl_linear,10,1,0.0,True,2,0.5,0.4914,0.0152,0.5066,ok
SelfRegulationSCP2,stl_tree,10,1,0.0,True,2,0.5111111111111111,0.2381,0.0152,0.2533,ok
SelfRegulationSCP2,stl_linear,10,1,0.0,True,3,0.5,0.4544,0.0125,0.4669,ok
SelfRegulationSCP2,stl_tree,10,1,0.0,True,3,0.5555555555555556,0.2289,0.0125,0.2414,ok
SelfRegulationSCP2,stl_linear,10,1,0.0,True,4,0.5055555555555555,0.4587,0.012,0.4707,ok
SelfRegulationSCP2,stl_tree,10,1,0.0,True,4,0.5277777777777778,0.2292,0.012,0.2412,ok
SelfRegulationSCP2,stl_linear,10,1,0.0,True,5,0.5,0.4935,0.0139,0.5074,ok
SelfRegulationSCP2,stl_tree,10,1,0.0,True,5,0.5,0.2484,0.0139,0.2623,ok
SelfRegulationSCP2,stl_linear,10,1,0.0,True,6,0.5,0.3685,0.0123,0.3808,ok
SelfRegulationSCP2,stl_tree,10,1,0.0,True,6,0.5055555555555555,0.2166,0.0123,0.2289,ok
SelfRegulationSCP2,stl_linear,10,1,0.0,True,7,0.5277777777777778,0.4655,0.0128,0.4783,ok
SelfRegulationSCP2,stl_tree,10,1,0.0,True,7,0.48333333333333334,0.2524,0.0128,0.2652,ok
SelfRegulationSCP2,stl_linear,10,1,0.0,True,8,0.48888888888888893,0.7357,0.0158,0.7515,ok
SelfRegulationSCP2,stl_tree,10,1,0.0,True,8,0.5055555555555555,0.2337,0.0158,0.2495,ok
SelfRegulationSCP2,stl_linear,10,1,0.0,True,9,0.5666666666666667,0.586,0.0157,0.6017,ok
SelfRegulationSCP2,stl_tree,10,1,0.0,True,9,0.5055555555555555,0.2421,0.0157,0.2578,ok
