dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
SelfRegulationSCP2,stl_linear,100,1,0.0,True,0,0.5722222222222222,4.3378,0.1545,4.4923,ok
SelfRegulationSCP2,stl_tree,100,1,0.0,True,0,0.5055555555555555,2.698,0.1545,2.8525,ok
SelfRegulationSCP2,stl_linear,100,1,0.0,True,1,0.4722222222222222,4.5206,0.1485,4.6691,ok
SelfRegulationSCP2,stl_tree,100,1,0.0,True,1,0.44999999999999996,0.5869,0.1485,0.7354,ok
SelfRegulationSCP2,stl_linear,100,1,0.0,True,2,0.5,3.4554,0.1365,3.5919,ok
SelfRegulationSCP2,stl_tree,100,1,0.0,True,2,0.5444444444444445,0.5509,0.1365,0.6874,ok
SelfRegulationSCP2,stl_linear,100,1,0.0,True,3,0.5333333333333333,3.8238,0.1464,3.9702,ok
SelfRegulationSCP2,stl_tree,100,1,0.0,True,3,0.5388888888888889,0.555,0.1464,0.7014,ok
SelfRegulationSCP2,stl_linear,100,1,0.0,True,4,0.5,4.4535,0.134,4.5875,ok
SelfRegulationSCP2,stl_tree,100,1,0.0,True,4,0.5111111111111111,0.5312,0.134,0.6652,ok
SelfRegulationSCP2,stl_linear,100,1,0.0,True,5,0.4888888888888889,5.2026,0.1356,5.3382,ok
SelfRegulationSCP2,stl_tree,100,1,0.0,True,5,0.5333333333333333,0.5612,0.1356,0.6968,ok
SelfRegulationSCP2,stl_linear,100,1,0.0,True,6,0.5388888888888889,5.8581,0.1368,5.9949,ok
SelfRegulationSCP2,stl_tree,100,1,0.0,True,6,0.5,0.5471,0.1368,0.6839,ok
SelfRegulationSCP2,stl_linear,100,1,0.0,True,7,0.4722222222222222,3.069,0.1293,3.1983,ok
SelfRegulationSCP2,stl_tree,100,1,0.0,True,7,0.4888888888888889,0.5574,0.1293,0.6867,ok
SelfRegulationSCP2,stl_linear,100,1,0.0,True,8,0.5833333333333334,5.4178,0.1195,5.5373,ok
SelfRegulationSCP2,stl_tree,100,1,0.0,True,8,0.5222222222222221,0.5416,0.1195,0.6611,ok
SelfRegulationSCP2,stl_linear,100,1,0.0,True,9,0.5111111111111111,4.6968,0.1297,4.8265,ok
SelfRegulationSCP2,stl_tree,100,1,0.0,True,9,0.5111111111111111,0.5475,0.1297,0.6772,ok
