dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,10,1,0.0,True,0,0.3333333333333333,0.6027,0.6567,1.2594,ok
StandWalkJump,stl_tree,10,1,0.0,True,0,0.3333333333333333,2.302,0.6567,2.9587,ok
StandWalkJump,stl_linear,10,1,0.0,True,1,0.13333333333333333,0.5449,0.4352,0.9801,ok
StandWalkJump,stl_tree,10,1,0.0,True,1,0.4000000000000001,0.1968,0.4352,0.632,ok
StandWalkJump,stl_linear,10,1,0.0,True,2,0.3333333333333333,0.5355,0.3118,0.8473,ok
StandWalkJump,stl_tree,10,1,0.0,True,2,0.3333333333333333,0.165,0.3118,0.4768,ok
StandWalkJump,stl_linear,10,1,0.0,True,3,0.20000000000000004,0.5214,0.0104,0.5318,ok
StandWalkJump,stl_tree,10,1,0.0,True,3,0.3333333333333333,0.1617,0.0104,0.1721,ok
StandWalkJump,stl_linear,10,1,0.0,True,4,0.3333333333333333,0.5403,0.131,0.6713,ok
StandWalkJump,stl_tree,10,1,0.0,True,4,0.3333333333333333,0.1984,0.131,0.3294,ok
StandWalkJump,stl_linear,10,1,0.0,True,5,0.5333333333333333,0.5663,0.0085,0.5748,ok
StandWalkJump,stl_tree,10,1,0.0,True,5,0.4666666666666666,0.1729,0.0085,0.1814,ok
StandWalkJump,stl_linear,10,1,0.0,True,6,0.3333333333333333,0.3072,0.2241,0.5313,ok
StandWalkJump,stl_tree,10,1,0.0,True,6,0.4000000000000001,0.1478,0.2241,0.3719,ok
StandWalkJump,stl_linear,10,1,0.0,True,7,0.3333333333333333,0.5262,0.0064,0.5326,ok
StandWalkJump,stl_tree,10,1,0.0,True,7,0.20000000000000004,0.1568,0.0064,0.1632,ok
StandWalkJump,stl_linear,10,1,0.0,True,8,0.3333333333333333,0.5222,0.0365,0.5587,ok
StandWalkJump,stl_tree,10,1,0.0,True,8,0.3333333333333333,0.1562,0.0365,0.1927,ok
StandWalkJump,stl_linear,10,1,0.0,True,9,0.3333333333333333,0.5167,0.4672,0.9839,ok
StandWalkJump,stl_tree,10,1,0.0,True,9,0.3333333333333333,0.1779,0.4672,0.6451,ok
