dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,100,1,0.0,True,0,0.3333333333333333,0.4677,0.0645,0.5322,ok
StandWalkJump,stl_tree,100,1,0.0,True,0,0.3333333333333333,2.4098,0.0645,2.4743,ok
StandWalkJump,stl_linear,100,1,0.0,True,1,0.3333333333333333,0.4741,0.0556,0.5297,ok
StandWalkJump,stl_tree,100,1,0.0,True,1,0.26666666666666666,0.1633,0.0556,0.2189,ok
StandWalkJump,stl_linear,100,1,0.0,True,2,0.3333333333333333,0.4514,0.0466,0.498,ok
StandWalkJump,stl_tree,100,1,0.0,True,2,0.20000000000000004,0.1669,0.0466,0.2135,ok
StandWalkJump,stl_linear,100,1,0.0,True,3,0.3333333333333333,0.4528,0.0465,0.4993,ok
StandWalkJump,stl_tree,100,1,0.0,True,3,0.20000000000000004,0.1655,0.0465,0.212,ok
StandWalkJump,stl_linear,100,1,0.0,True,4,0.3333333333333333,0.4307,0.0462,0.4769,ok
StandWalkJump,stl_tree,100,1,0.0,True,4,0.26666666666666666,0.1863,0.0462,0.2325,ok
StandWalkJump,stl_linear,100,1,0.0,True,5,0.3333333333333333,0.444,0.0452,0.4892,ok
StandWalkJump,stl_tree,100,1,0.0,True,5,0.3333333333333333,0.1605,0.0452,0.2057,ok
StandWalkJump,stl_linear,100,1,0.0,True,6,0.3333333333333333,0.4752,0.0523,0.5275,ok
StandWalkJump,stl_tree,100,1,0.0,True,6,0.19999999999999998,0.1515,0.0523,0.2038,ok
StandWalkJump,stl_linear,100,1,0.0,True,7,0.20000000000000004,0.4674,0.0469,0.5143,ok
StandWalkJump,stl_tree,100,1,0.0,True,7,0.20000000000000004,0.1628,0.0469,0.2097,ok
StandWalkJump,stl_linear,100,1,0.0,True,8,0.3333333333333333,0.4439,0.0462,0.4901,ok
StandWalkJump,stl_tree,100,1,0.0,True,8,0.20000000000000004,0.17,0.0462,0.2162,ok
StandWalkJump,stl_linear,100,1,0.0,True,9,0.3333333333333333,0.4606,0.0469,0.5075,ok
StandWalkJump,stl_tree,100,1,0.0,True,9,0.4666666666666666,0.1633,0.0469,0.2102,ok
