dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,1000,1,0.0,True,0,0.13333333333333333,0.5001,0.5614,1.0615,ok
StandWalkJump,stl_tree,1000,1,0.0,True,0,0.3333333333333333,2.5682,0.5614,3.1296,ok
StandWalkJump,stl_linear,1000,1,0.0,True,1,0.26666666666666666,0.4992,0.5126,1.0118,ok
StandWalkJump,stl_tree,1000,1,0.0,True,1,0.4000000000000001,0.2946,0.5126,0.8072,ok
StandWalkJump,stl_linear,1000,1,0.0,True,2,0.3333333333333333,0.4783,0.4876,0.9659,ok
StandWalkJump,stl_tree,1000,1,0.0,True,2,0.3333333333333333,0.2725,0.4876,0.7601,ok
StandWalkJump,stl_linear,1000,1,0.0,True,3,0.3333333333333333,0.4579,0.4472,0.9051,ok
StandWalkJump,stl_tree,1000,1,0.0,True,3,0.3333333333333333,0.2364,0.4472,0.6836,ok
StandWalkJump,stl_linear,1000,1,0.0,True,4,0.3333333333333333,0.462,0.4555,0.9175,ok
StandWalkJump,stl_tree,1000,1,0.0,True,4,0.3333333333333333,0.2457,0.4555,0.7012,ok
StandWalkJump,stl_linear,1000,1,0.0,True,5,0.3333333333333333,0.4872,0.5101,0.9973,ok
StandWalkJump,stl_tree,1000,1,0.0,True,5,0.39999999999999997,0.2361,0.5101,0.7462,ok
StandWalkJump,stl_linear,1000,1,0.0,True,6,0.3333333333333333,0.4806,0.4618,0.9424,ok
StandWalkJump,stl_tree,1000,1,0.0,True,6,0.3333333333333333,0.2485,0.4618,0.7103,ok
StandWalkJump,stl_linear,1000,1,0.0,True,7,0.3333333333333333,0.4822,0.4722,0.9544,ok
StandWalkJump,stl_tree,1000,1,0.0,True,7,0.3333333333333333,0.2353,0.4722,0.7075,ok
StandWalkJump,stl_linear,1000,1,0.0,True,8,0.3333333333333333,0.4776,0.4599,0.9375,ok
StandWalkJump,stl_tree,1000,1,0.0,True,8,0.3333333333333333,0.2469,0.4599,0.7068,ok
StandWalkJump,stl_linear,1000,1,0.0,True,9,0.39999999999999997,0.4684,0.4821,0.9505,ok
StandWalkJump,stl_tree,1000,1,0.0,True,9,0.3333333333333333,0.2599,0.4821,0.742,ok
