dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,10,1,0.0,True,0,0.3333333333333333,0.5896,0.0227,0.6123,ok
StandWalkJump,stl_tree,10,1,0.0,True,0,0.3333333333333333,2.3125,0.0227,2.3352,ok
StandWalkJump,stl_linear,10,1,0.0,True,1,0.13333333333333333,0.5337,0.0079,0.5416,ok
StandWalkJump,stl_tree,10,1,0.0,True,1,0.4000000000000001,0.1477,0.0079,0.1556,ok
StandWalkJump,stl_linear,10,1,0.0,True,2,0.3333333333333333,0.53,0.006,0.536,ok
StandWalkJump,stl_tree,10,1,0.0,True,2,0.3333333333333333,0.1792,0.006,0.1852,ok
StandWalkJump,stl_linear,10,1,0.0,True,3,0.20000000000000004,0.5033,0.007,0.5103,ok
StandWalkJump,stl_tree,10,1,0.0,True,3,0.3333333333333333,0.1522,0.007,0.1592,ok
StandWalkJump,stl_linear,10,1,0.0,True,4,0.3333333333333333,0.5439,0.0066,0.5505,ok
StandWalkJump,stl_tree,10,1,0.0,True,4,0.3333333333333333,0.1582,0.0066,0.1648,ok
StandWalkJump,stl_linear,10,1,0.0,True,5,0.5333333333333333,0.5594,0.0071,0.5665,ok
StandWalkJump,stl_tree,10,1,0.0,True,5,0.4666666666666666,0.1476,0.0071,0.1547,ok
StandWalkJump,stl_linear,10,1,0.0,True,6,0.3333333333333333,0.305,0.0064,0.3114,ok
StandWalkJump,stl_tree,10,1,0.0,True,6,0.4000000000000001,0.1477,0.0064,0.1541,ok
StandWalkJump,stl_linear,10,1,0.0,True,7,0.3333333333333333,0.5102,0.0059,0.5161,ok
StandWalkJump,stl_tree,10,1,0.0,True,7,0.20000000000000004,0.146,0.0059,0.1519,ok
StandWalkJump,stl_linear,10,1,0.0,True,8,0.3333333333333333,0.5107,0.0061,0.5168,ok
StandWalkJump,stl_tree,10,1,0.0,True,8,0.3333333333333333,0.1555,0.0061,0.1616,ok
StandWalkJump,stl_linear,10,1,0.0,True,9,0.3333333333333333,0.5212,0.0068,0.528,ok
StandWalkJump,stl_tree,10,1,0.0,True,9,0.3333333333333333,0.1553,0.0068,0.1621,ok
