dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,100,1,0.0,True,0,0.3333333333333333,0.4872,0.0653,0.5525,ok
StandWalkJump,stl_tree,100,1,0.0,True,0,0.3333333333333333,2.3431,0.0653,2.4084,ok
StandWalkJump,stl_linear,100,1,0.0,True,1,0.3333333333333333,0.4685,0.0789,0.5474,ok
StandWalkJump,stl_tree,100,1,0.0,True,1,0.26666666666666666,0.1529,0.0789,0.2318,ok
StandWalkJump,stl_linear,100,1,0.0,True,2,0.3333333333333333,0.4493,0.0473,0.4966,ok
StandWalkJump,stl_tree,100,1,0.0,True,2,0.20000000000000004,0.1428,0.0473,0.1901,ok
StandWalkJump,stl_linear,100,1,0.0,True,3,0.3333333333333333,0.4456,0.046,0.4916,ok
StandWalkJump,stl_tree,100,1,0.0,True,3,0.20000000000000004,0.1595,0.046,0.2055,ok
StandWalkJump,stl_linear,100,1,0.0,True,4,0.3333333333333333,0.4241,0.0467,0.4708,ok
StandWalkJump,stl_tree,100,1,0.0,True,4,0.26666666666666666,0.1527,0.0467,0.1994,ok
StandWalkJump,stl_linear,100,1,0.0,True,5,0.3333333333333333,0.4415,0.0443,0.4858,ok
StandWalkJump,stl_tree,100,1,0.0,True,5,0.3333333333333333,0.1572,0.0443,0.2015,ok
StandWalkJump,stl_linear,100,1,0.0,True,6,0.3333333333333333,0.4647,0.0501,0.5148,ok
StandWalkJump,stl_tree,100,1,0.0,True,6,0.19999999999999998,0.1618,0.0501,0.2119,ok
StandWalkJump,stl_linear,100,1,0.0,True,7,0.20000000000000004,0.4567,0.0451,0.5018,ok
StandWalkJump,stl_tree,100,1,0.0,True,7,0.20000000000000004,0.1677,0.0451,0.2128,ok
StandWalkJump,stl_linear,100,1,0.0,True,8,0.3333333333333333,0.437,0.0443,0.4813,ok
StandWalkJump,stl_tree,100,1,0.0,True,8,0.20000000000000004,0.1574,0.0443,0.2017,ok
StandWalkJump,stl_linear,100,1,0.0,True,9,0.3333333333333333,0.4592,0.0459,0.5051,ok
StandWalkJump,stl_tree,100,1,0.0,True,9,0.4666666666666666,0.1452,0.0459,0.1911,ok
