dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,1000,1,0.0,True,0,0.13333333333333333,0.4811,0.5305,1.0116,ok
StandWalkJump,stl_tree,1000,1,0.0,True,0,0.3333333333333333,2.371,0.5305,2.9015,ok
StandWalkJump,stl_linear,1000,1,0.0,True,1,0.26666666666666666,0.4854,0.4984,0.9838,ok
StandWalkJump,stl_tree,1000,1,0.0,True,1,0.4000000000000001,0.2626,0.4984,0.761,ok
StandWalkJump,stl_linear,1000,1,0.0,True,2,0.3333333333333333,0.4535,0.4585,0.912,ok
StandWalkJump,stl_tree,1000,1,0.0,True,2,0.3333333333333333,0.2347,0.4585,0.6932,ok
StandWalkJump,stl_linear,1000,1,0.0,True,3,0.3333333333333333,0.4318,0.4497,0.8815,ok
StandWalkJump,stl_tree,1000,1,0.0,True,3,0.3333333333333333,0.24,0.4497,0.6897,ok
StandWalkJump,stl_linear,1000,1,0.0,True,4,0.3333333333333333,0.4373,0.4474,0.8847,ok
StandWalkJump,stl_tree,1000,1,0.0,True,4,0.3333333333333333,0.2433,0.4474,0.6907,ok
StandWalkJump,stl_linear,1000,1,0.0,True,5,0.3333333333333333,0.4641,0.4578,0.9219,ok
StandWalkJump,stl_tree,1000,1,0.0,True,5,0.39999999999999997,0.2482,0.4578,0.706,ok
StandWalkJump,stl_linear,1000,1,0.0,True,6,0.3333333333333333,0.4657,0.453,0.9187,ok
StandWalkJump,stl_tree,1000,1,0.0,True,6,0.3333333333333333,0.2357,0.453,0.6887,ok
StandWalkJump,stl_linear,1000,1,0.0,True,7,0.3333333333333333,0.4604,0.4967,0.9571,ok
StandWalkJump,stl_tree,1000,1,0.0,True,7,0.3333333333333333,0.2183,0.4967,0.715,ok
StandWalkJump,stl_linear,1000,1,0.0,True,8,0.3333333333333333,0.4416,0.4678,0.9094,ok
StandWalkJump,stl_tree,1000,1,0.0,True,8,0.3333333333333333,0.2291,0.4678,0.6969,ok
StandWalkJump,stl_linear,1000,1,0.0,True,9,0.39999999999999997,0.4521,0.4574,0.9095,ok
StandWalkJump,stl_tree,1000,1,0.0,True,9,0.3333333333333333,0.2267,0.4574,0.6841,ok
