dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,10000,1,0.0,True,0,0.26666666666666666,0.6828,5.4564,6.1392,ok
StandWalkJump,stl_tree,10000,1,0.0,True,0,0.4666666666666666,2.9549,5.4564,8.4113,ok
StandWalkJump,stl_linear,10000,1,0.0,True,1,0.3333333333333333,0.7216,5.4724,6.194,ok
StandWalkJump,stl_tree,10000,1,0.0,True,1,0.3333333333333333,0.4835,5.4724,5.9559,ok
StandWalkJump,stl_linear,10000,1,0.0,True,2,0.3333333333333333,0.6209,5.0438,5.6647,ok
StandWalkJump,stl_tree,10000,1,0.0,True,2,0.3333333333333333,0.4572,5.0438,5.501,ok
StandWalkJump,stl_linear,10000,1,0.0,True,3,0.3333333333333333,0.6637,4.7582,5.4219,ok
StandWalkJump,stl_tree,10000,1,0.0,True,3,0.26666666666666666,0.4747,4.7582,5.2329,ok
StandWalkJump,stl_linear,10000,1,0.0,True,4,0.26666666666666666,0.6413,4.7743,5.4156,ok
StandWalkJump,stl_tree,10000,1,0.0,True,4,0.20000000000000004,0.5258,4.7743,5.3001,ok
StandWalkJump,stl_linear,10000,1,0.0,True,5,0.26666666666666666,0.6056,4.9161,5.5217,ok
StandWalkJump,stl_tree,10000,1,0.0,True,5,0.3333333333333333,0.4961,4.9161,5.4122,ok
StandWalkJump,stl_linear,10000,1,0.0,True,6,0.26666666666666666,0.6016,4.8743,5.4759,ok
StandWalkJump,stl_tree,10000,1,0.0,True,6,0.4000000000000001,0.4832,4.8743,5.3575,ok
StandWalkJump,stl_linear,10000,1,0.0,True,7,0.3333333333333333,0.6234,4.7737,5.3971,ok
StandWalkJump,stl_tree,10000,1,0.0,True,7,0.3333333333333333,0.4655,4.7737,5.2392,ok
StandWalkJump,stl_linear,10000,1,0.0,True,8,0.3333333333333333,0.6562,4.7776,5.4338,ok
StandWalkJump,stl_tree,10000,1,0.0,True,8,0.6,0.4762,4.7776,5.2538,ok
StandWalkJump,stl_linear,10000,1,0.0,True,9,0.13333333333333333,0.6134,4.8558,5.4692,ok
StandWalkJump,stl_tree,10000,1,0.0,True,9,0.3333333333333333,0.5402,4.8558,5.396,ok
