dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,1000,2,0.0,True,0,0.26666666666666666,0.4774,0.6574,1.1348,ok
StandWalkJump,stl_tree,1000,2,0.0,True,0,0.3333333333333333,2.4846,0.6574,3.142,ok
StandWalkJump,stl_linear,1000,2,0.0,True,1,0.26666666666666666,0.4445,0.6342,1.0787,ok
StandWalkJump,stl_tree,1000,2,0.0,True,1,0.4666666666666666,0.2669,0.6342,0.9011,ok
StandWalkJump,stl_linear,1000,2,0.0,True,2,0.3333333333333333,0.4502,0.5929,1.0431,ok
StandWalkJump,stl_tree,1000,2,0.0,True,2,0.3333333333333333,0.2306,0.5929,0.8235,ok
StandWalkJump,stl_linear,1000,2,0.0,True,3,0.3333333333333333,0.5337,0.6325,1.1662,ok
StandWalkJump,stl_tree,1000,2,0.0,True,3,0.39999999999999997,0.2645,0.6325,0.897,ok
StandWalkJump,stl_linear,1000,2,0.0,True,4,0.20000000000000004,0.5374,0.7047,1.2421,ok
StandWalkJump,stl_tree,1000,2,0.0,True,4,0.5333333333333333,0.2553,0.7047,0.96,ok
StandWalkJump,stl_linear,1000,2,0.0,True,5,0.3333333333333333,0.5508,0.653,1.2038,ok
StandWalkJump,stl_tree,1000,2,0.0,True,5,0.3333333333333333,0.2615,0.653,0.9145,ok
StandWalkJump,stl_linear,1000,2,0.0,True,6,0.3333333333333333,0.5499,0.6307,1.1806,ok
StandWalkJump,stl_tree,1000,2,0.0,True,6,0.3333333333333333,0.2614,0.6307,0.8921,ok
StandWalkJump,stl_linear,1000,2,0.0,True,7,0.3333333333333333,0.5008,0.6696,1.1704,ok
StandWalkJump,stl_tree,1000,2,0.0,True,7,0.3333333333333333,0.2417,0.6696,0.9113,ok
StandWalkJump,stl_linear,1000,2,0.0,True,8,0.3333333333333333,0.4861,0.6189,1.105,ok
StandWalkJump,stl_tree,1000,2,0.0,True,8,0.39999999999999997,0.2524,0.6189,0.8713,ok
StandWalkJump,stl_linear,1000,2,0.0,True,9,0.4000000000000001,0.4846,0.5897,1.0743,ok
StandWalkJump,stl_tree,1000,2,0.0,True,9,0.26666666666666666,0.2424,0.5897,0.8321,ok
