dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,10,3,0.0,True,0,0.20000000000000004,0.5214,0.0278,0.5492,ok
StandWalkJump,stl_tree,10,3,0.0,True,0,0.3333333333333333,2.371,0.0278,2.3988,ok
StandWalkJump,stl_linear,10,3,0.0,True,1,0.3333333333333333,0.6032,0.0098,0.613,ok
StandWalkJump,stl_tree,10,3,0.0,True,1,0.39999999999999997,0.1584,0.0098,0.1682,ok
StandWalkJump,stl_linear,10,3,0.0,True,2,0.3333333333333333,0.4847,0.0079,0.4926,ok
StandWalkJump,stl_tree,10,3,0.0,True,2,0.3333333333333333,0.1591,0.0079,0.167,ok
StandWalkJump,stl_linear,10,3,0.0,True,3,0.3333333333333333,0.4649,0.0087,0.4736,ok
StandWalkJump,stl_tree,10,3,0.0,True,3,0.26666666666666666,0.15,0.0087,0.1587,ok
StandWalkJump,stl_linear,10,3,0.0,True,4,0.3333333333333333,0.5215,0.0094,0.5309,ok
StandWalkJump,stl_tree,10,3,0.0,True,4,0.4666666666666666,0.1649,0.0094,0.1743,ok
StandWalkJump,stl_linear,10,3,0.0,True,5,0.3333333333333333,0.5066,0.0097,0.5163,ok
StandWalkJump,stl_tree,10,3,0.0,True,5,0.26666666666666666,0.1548,0.0097,0.1645,ok
StandWalkJump,stl_linear,10,3,0.0,True,6,0.3333333333333333,0.5395,0.0114,0.5509,ok
StandWalkJump,stl_tree,10,3,0.0,True,6,0.4666666666666666,0.1599,0.0114,0.1713,ok
StandWalkJump,stl_linear,10,3,0.0,True,7,0.3333333333333333,0.5274,0.01,0.5374,ok
StandWalkJump,stl_tree,10,3,0.0,True,7,0.20000000000000004,0.1537,0.01,0.1637,ok
StandWalkJump,stl_linear,10,3,0.0,True,8,0.13333333333333333,0.4797,0.0082,0.4879,ok
StandWalkJump,stl_tree,10,3,0.0,True,8,0.13333333333333333,0.153,0.0082,0.1612,ok
StandWalkJump,stl_linear,10,3,0.0,True,9,0.3333333333333333,0.4912,0.0097,0.5009,ok
StandWalkJump,stl_tree,10,3,0.0,True,9,0.4000000000000001,0.1633,0.0097,0.173,ok
