dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,100,3,0.0,True,0,0.3333333333333333,0.4442,0.085,0.5292,ok
StandWalkJump,stl_tree,100,3,0.0,True,0,0.26666666666666666,2.4858,0.085,2.5708,ok
StandWalkJump,stl_linear,100,3,0.0,True,1,0.26666666666666666,0.4616,0.0893,0.5509,ok
StandWalkJump,stl_tree,100,3,0.0,True,1,0.4666666666666666,0.1642,0.0893,0.2535,ok
StandWalkJump,stl_linear,100,3,0.0,True,2,0.3333333333333333,0.4469,0.0749,0.5218,ok
StandWalkJump,stl_tree,100,3,0.0,True,2,0.26666666666666666,0.1832,0.0749,0.2581,ok
StandWalkJump,stl_linear,100,3,0.0,True,3,0.3333333333333333,0.4569,0.079,0.5359,ok
StandWalkJump,stl_tree,100,3,0.0,True,3,0.26666666666666666,0.1804,0.079,0.2594,ok
StandWalkJump,stl_linear,100,3,0.0,True,4,0.13333333333333333,0.4517,0.0739,0.5256,ok
StandWalkJump,stl_tree,100,3,0.0,True,4,0.4666666666666666,0.1547,0.0739,0.2286,ok
StandWalkJump,stl_linear,100,3,0.0,True,5,0.3333333333333333,0.4569,0.0763,0.5332,ok
StandWalkJump,stl_tree,100,3,0.0,True,5,0.3333333333333333,0.168,0.0763,0.2443,ok
StandWalkJump,stl_linear,100,3,0.0,True,6,0.3333333333333333,0.4659,0.0711,0.537,ok
StandWalkJump,stl_tree,100,3,0.0,True,6,0.5333333333333333,0.1632,0.0711,0.2343,ok
StandWalkJump,stl_linear,100,3,0.0,True,7,0.26666666666666666,0.4509,0.0778,0.5287,ok
StandWalkJump,stl_tree,100,3,0.0,True,7,0.26666666666666666,0.1764,0.0778,0.2542,ok
StandWalkJump,stl_linear,100,3,0.0,True,8,0.13333333333333333,0.4659,0.0706,0.5365,ok
StandWalkJump,stl_tree,100,3,0.0,True,8,0.26666666666666666,0.1608,0.0706,0.2314,ok
StandWalkJump,stl_linear,100,3,0.0,True,9,0.3333333333333333,0.4352,0.079,0.5142,ok
StandWalkJump,stl_tree,100,3,0.0,True,9,0.26666666666666666,0.1504,0.079,0.2294,ok
