dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,1000,3,0.0,True,0,0.3333333333333333,0.4782,0.8332,1.3114,ok
StandWalkJump,stl_tree,1000,3,0.0,True,0,0.19999999999999998,2.508,0.8332,3.3412,ok
StandWalkJump,stl_linear,1000,3,0.0,True,1,0.3333333333333333,0.4645,0.7949,1.2594,ok
StandWalkJump,stl_tree,1000,3,0.0,True,1,0.3333333333333333,0.2863,0.7949,1.0812,ok
StandWalkJump,stl_linear,1000,3,0.0,True,2,0.3333333333333333,0.4534,0.7554,1.2088,ok
StandWalkJump,stl_tree,1000,3,0.0,True,2,0.3333333333333333,0.2392,0.7554,0.9946,ok
StandWalkJump,stl_linear,1000,3,0.0,True,3,0.4666666666666666,0.4396,0.7637,1.2033,ok
StandWalkJump,stl_tree,1000,3,0.0,True,3,0.3333333333333333,0.2429,0.7637,1.0066,ok
StandWalkJump,stl_linear,1000,3,0.0,True,4,0.3333333333333333,0.4409,0.7269,1.1678,ok
StandWalkJump,stl_tree,1000,3,0.0,True,4,0.3333333333333333,0.2244,0.7269,0.9513,ok
StandWalkJump,stl_linear,1000,3,0.0,True,5,0.3333333333333333,0.4603,0.7472,1.2075,ok
StandWalkJump,stl_tree,1000,3,0.0,True,5,0.26666666666666666,0.2408,0.7472,0.988,ok
StandWalkJump,stl_linear,1000,3,0.0,True,6,0.3333333333333333,0.4451,0.713,1.1581,ok
StandWalkJump,stl_tree,1000,3,0.0,True,6,0.3333333333333333,0.2341,0.713,0.9471,ok
StandWalkJump,stl_linear,1000,3,0.0,True,7,0.3333333333333333,0.4697,0.759,1.2287,ok
StandWalkJump,stl_tree,1000,3,0.0,True,7,0.3333333333333333,0.2477,0.759,1.0067,ok
StandWalkJump,stl_linear,1000,3,0.0,True,8,0.3333333333333333,0.4292,0.7139,1.1431,ok
StandWalkJump,stl_tree,1000,3,0.0,True,8,0.4666666666666666,0.2337,0.7139,0.9476,ok
StandWalkJump,stl_linear,1000,3,0.0,True,9,0.3333333333333333,0.433,0.8944,1.3274,ok
StandWalkJump,stl_tree,1000,3,0.0,True,9,0.6,0.2346,0.8944,1.129,ok
