dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,100,1,1.0,True,0,0.3333333333333333,0.4675,35.8904,36.3579,ok
StandWalkJump,stl_tree,100,1,1.0,True,0,0.26666666666666666,2.5342,35.8904,38.4246,ok
StandWalkJump,stl_linear,100,1,1.0,True,1,0.3333333333333333,0.5473,30.576,31.1233,ok
StandWalkJump,stl_tree,100,1,1.0,True,1,0.4666666666666666,0.2026,30.576,30.7786,ok
StandWalkJump,stl_linear,100,1,1.0,True,2,0.3333333333333333,0.4667,18.7507,19.2174,ok
StandWalkJump,stl_tree,100,1,1.0,True,2,0.4666666666666666,0.1641,18.7507,18.9148,ok
StandWalkJump,stl_linear,100,1,1.0,True,3,0.13333333333333333,0.5439,22.4031,22.947,ok
StandWalkJump,stl_tree,100,1,1.0,True,3,0.26666666666666666,0.1839,22.4031,22.587,ok
StandWalkJump,stl_linear,100,1,1.0,True,4,0.3333333333333333,0.4514,18.6263,19.0777,ok
StandWalkJump,stl_tree,100,1,1.0,True,4,0.3333333333333333,0.1552,18.6263,18.7815,ok
StandWalkJump,stl_linear,100,1,1.0,True,5,0.3333333333333333,0.5116,10.1346,10.6462,ok
StandWalkJump,stl_tree,100,1,1.0,True,5,0.26666666666666666,0.1794,10.1346,10.314,ok
StandWalkJump,stl_linear,100,1,1.0,True,6,0.3333333333333333,0.4689,31.7028,32.1717,ok
StandWalkJump,stl_tree,100,1,1.0,True,6,0.20000000000000004,0.1682,31.7028,31.871,ok
StandWalkJump,stl_linear,100,1,1.0,True,7,0.3333333333333333,0.4665,11.562,12.0285,ok
StandWalkJump,stl_tree,100,1,1.0,True,7,0.26666666666666666,0.1647,11.562,11.7267,ok
StandWalkJump,stl_linear,100,1,1.0,True,8,0.3333333333333333,0.4436,19.4167,19.8603,ok
StandWalkJump,stl_tree,100,1,1.0,True,8,0.26666666666666666,0.1561,19.4167,19.5728,ok
StandWalkJump,stl_linear,100,1,1.0,True,9,0.3333333333333333,0.5313,33.0998,33.6311,ok
StandWalkJump,stl_tree,100,1,1.0,True,9,0.5333333333333333,0.1755,33.0998,33.2753,ok
