dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,1000,1,1.0,True,0,0.3333333333333333,0.5442,321.9547,322.4989,ok
StandWalkJump,stl_tree,1000,1,1.0,True,0,0.3333333333333333,2.7498,321.9547,324.7045,ok
StandWalkJump,stl_linear,1000,1,1.0,True,1,0.3333333333333333,0.4865,297.7189,298.2054,ok
StandWalkJump,stl_tree,1000,1,1.0,True,1,0.5333333333333333,0.2765,297.7189,297.9954,ok
StandWalkJump,stl_linear,1000,1,1.0,True,2,0.3333333333333333,0.4982,233.8819,234.3801,ok
StandWalkJump,stl_tree,1000,1,1.0,True,2,0.4666666666666666,0.2508,233.8819,234.1327,ok
StandWalkJump,stl_linear,1000,1,1.0,True,3,0.3333333333333333,0.4894,288.8355,289.3249,ok
StandWalkJump,stl_tree,1000,1,1.0,True,3,0.26666666666666666,0.262,288.8355,289.0975,ok
StandWalkJump,stl_linear,1000,1,1.0,True,4,0.3333333333333333,0.4669,261.8005,262.2674,ok
StandWalkJump,stl_tree,1000,1,1.0,True,4,0.26666666666666666,0.2655,261.8005,262.066,ok
StandWalkJump,stl_linear,1000,1,1.0,True,5,0.20000000000000004,0.4845,281.024,281.5085,ok
StandWalkJump,stl_tree,1000,1,1.0,True,5,0.26666666666666666,0.2628,281.024,281.2868,ok
StandWalkJump,stl_linear,1000,1,1.0,True,6,0.20000000000000004,0.4685,322.3404,322.8089,ok
StandWalkJump,stl_tree,1000,1,1.0,True,6,0.26666666666666666,2.5039,322.3404,324.8443,ok
StandWalkJump,stl_linear,1000,1,1.0,True,7,0.4000000000000001,0.5082,261.1812,261.6894,ok
StandWalkJump,stl_tree,1000,1,1.0,True,7,0.4666666666666666,0.3178,261.1812,261.499,ok
StandWalkJump,stl_linear,1000,1,1.0,True,8,0.3333333333333333,0.5376,286.1929,286.7305,ok
StandWalkJump,stl_tree,1000,1,1.0,True,8,0.20000000000000004,0.2726,286.1929,286.4655,ok
StandWalkJump,stl_linear,1000,1,1.0,True,9,0.3333333333333333,0.471,296.2529,296.7239,ok
StandWalkJump,stl_tree,1000,1,1.0,True,9,0.26666666666666666,0.2638,296.2529,296.5167,ok
