dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,10000,1,1.0,True,0,0.26666666666666666,0.8592,3112.0265,3112.8857,ok
StandWalkJump,stl_tree,10000,1,1.0,True,0,0.3333333333333333,3.4913,3112.0265,3115.5178,ok
StandWalkJump,stl_linear,10000,1,1.0,True,1,0.26666666666666666,0.9742,3129.43,3130.4042,ok
StandWalkJump,stl_tree,10000,1,1.0,True,1,0.3333333333333333,2.9474,3129.43,3132.3774,ok
StandWalkJump,stl_linear,10000,1,1.0,True,2,0.20000000000000004,0.7836,2880.8276,2881.6112,ok
StandWalkJump,stl_tree,10000,1,1.0,True,2,0.5333333333333333,3.69,2880.8276,2884.5176,ok
StandWalkJump,stl_linear,10000,1,1.0,True,3,0.3333333333333333,0.7919,2905.9952,2906.7871,ok
StandWalkJump,stl_tree,10000,1,1.0,True,3,0.5333333333333333,3.4336,2905.9952,2909.4288,ok
StandWalkJump,stl_linear,10000,1,1.0,True,4,0.3333333333333333,0.748,3009.6942,3010.4422,ok
StandWalkJump,stl_tree,10000,1,1.0,True,4,0.26666666666666666,3.2745,3009.6942,3012.9687,ok
StandWalkJump,stl_linear,10000,1,1.0,True,5,0.3333333333333333,0.8466,2928.8394,2929.686,ok
StandWalkJump,stl_tree,10000,1,1.0,True,5,0.26666666666666666,3.7321,2928.8394,2932.5715,ok
StandWalkJump,stl_linear,10000,1,1.0,True,6,0.26666666666666666,0.762,3065.026,3065.788,ok
StandWalkJump,stl_tree,10000,1,1.0,True,6,0.26666666666666666,2.9914,3065.026,3068.0174,ok
StandWalkJump,stl_linear,10000,1,1.0,True,7,0.13333333333333333,0.765,3091.9145,3092.6795,ok
StandWalkJump,stl_tree,10000,1,1.0,True,7,0.5333333333333333,3.7146,3091.9145,3095.6291,ok
StandWalkJump,stl_linear,10000,1,1.0,True,8,0.3333333333333333,0.7556,2987.6998,2988.4554,ok
StandWalkJump,stl_tree,10000,1,1.0,True,8,0.4666666666666666,3.2401,2987.6998,2990.9399,ok
StandWalkJump,stl_linear,10000,1,1.0,True,9,0.3333333333333333,0.7171,2669.8972,2670.6143,ok
StandWalkJump,stl_tree,10000,1,1.0,True,9,0.5333333333333333,3.6464,2669.8972,2673.5436,ok
