dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,10,2,1.0,True,0,0.3333333333333333,0.6291,3.4945,4.1236,ok
StandWalkJump,stl_tree,10,2,1.0,True,0,0.13333333333333333,2.8565,3.4945,6.351,ok
StandWalkJump,stl_linear,10,2,1.0,True,1,0.3333333333333333,0.5499,7.0893,7.6392,ok
StandWalkJump,stl_tree,10,2,1.0,True,1,0.26666666666666666,0.1928,7.0893,7.2821,ok
StandWalkJump,stl_linear,10,2,1.0,True,2,0.3333333333333333,0.584,0.4192,1.0032,ok
StandWalkJump,stl_tree,10,2,1.0,True,2,0.26666666666666666,0.1845,0.4192,0.6037,ok
StandWalkJump,stl_linear,10,2,1.0,True,3,0.20000000000000004,0.544,2.5706,3.1146,ok
StandWalkJump,stl_tree,10,2,1.0,True,3,0.26666666666666666,0.1653,2.5706,2.7359,ok
StandWalkJump,stl_linear,10,2,1.0,True,4,0.13333333333333333,0.5602,6.3453,6.9055,ok
StandWalkJump,stl_tree,10,2,1.0,True,4,0.26666666666666666,0.1806,6.3453,6.5259,ok
StandWalkJump,stl_linear,10,2,1.0,True,5,0.3333333333333333,0.5376,0.7566,1.2942,ok
StandWalkJump,stl_tree,10,2,1.0,True,5,0.26666666666666666,0.1935,0.7566,0.9501,ok
StandWalkJump,stl_linear,10,2,1.0,True,6,0.26666666666666666,0.6885,0.8027,1.4912,ok
StandWalkJump,stl_tree,10,2,1.0,True,6,0.3333333333333333,0.1524,0.8027,0.9551,ok
StandWalkJump,stl_linear,10,2,1.0,True,7,0.3333333333333333,0.6135,0.6928,1.3063,ok
StandWalkJump,stl_tree,10,2,1.0,True,7,0.3333333333333333,0.1712,0.6928,0.864,ok
StandWalkJump,stl_linear,10,2,1.0,True,8,0.3333333333333333,0.6068,5.6715,6.2783,ok
StandWalkJump,stl_tree,10,2,1.0,True,8,0.39999999999999997,0.1792,5.6715,5.8507,ok
StandWalkJump,stl_linear,10,2,1.0,True,9,0.06666666666666667,0.5603,4.9722,5.5325,ok
StandWalkJump,stl_tree,10,2,1.0,True,9,0.4666666666666666,0.188,4.9722,5.1602,ok
