dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,100,3,1.0,True,0,0.3333333333333333,0.6983,65.7956,66.4939,ok
StandWalkJump,stl_tree,100,3,1.0,True,0,0.3333333333333333,3.6226,65.7956,69.4182,ok
StandWalkJump,stl_linear,100,3,1.0,True,1,0.13333333333333333,0.5526,47.5603,48.1129,ok
StandWalkJump,stl_tree,100,3,1.0,True,1,0.4666666666666666,0.2278,47.5603,47.7881,ok
StandWalkJump,stl_linear,100,3,1.0,True,2,0.3333333333333333,0.5394,52.821,53.3604,ok
StandWalkJump,stl_tree,100,3,1.0,True,2,0.3333333333333333,0.2829,52.821,53.1039,ok
StandWalkJump,stl_linear,100,3,1.0,True,3,0.3333333333333333,0.5701,54.4737,55.0438,ok
StandWalkJump,stl_tree,100,3,1.0,True,3,0.3333333333333333,0.2626,54.4737,54.7363,ok
StandWalkJump,stl_linear,100,3,1.0,True,4,0.20000000000000004,0.5482,52.7669,53.3151,ok
StandWalkJump,stl_tree,100,3,1.0,True,4,0.26666666666666666,0.305,52.7669,53.0719,ok
StandWalkJump,stl_linear,100,3,1.0,True,5,0.20000000000000004,0.5329,46.8086,47.3415,ok
StandWalkJump,stl_tree,100,3,1.0,True,5,0.26666666666666666,0.1998,46.8086,47.0084,ok
StandWalkJump,stl_linear,100,3,1.0,True,6,0.3333333333333333,0.5681,40.2708,40.8389,ok
StandWalkJump,stl_tree,100,3,1.0,True,6,0.20000000000000004,0.2302,40.2708,40.501,ok
StandWalkJump,stl_linear,100,3,1.0,True,7,0.26666666666666666,0.5226,39.6368,40.1594,ok
StandWalkJump,stl_tree,100,3,1.0,True,7,0.26666666666666666,0.2011,39.6368,39.8379,ok
StandWalkJump,stl_linear,100,3,1.0,True,8,0.20000000000000004,0.5571,36.481,37.0381,ok
StandWalkJump,stl_tree,100,3,1.0,True,8,0.26666666666666666,0.2362,36.481,36.7172,ok
StandWalkJump,stl_linear,100,3,1.0,True,9,0.3333333333333333,0.5738,69.0433,69.6171,ok
StandWalkJump,stl_tree,100,3,1.0,True,9,0.4666666666666666,0.2133,69.0433,69.2566,ok
