dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,stl_linear,1000,3,1.0,True,0,0.3333333333333333,0.5592,453.1148,453.674,ok
StandWalkJump,stl_tree,1000,3,1.0,True,0,0.5333333333333333,2.8471,453.1148,455.9619,ok
StandWalkJump,stl_linear,1000,3,1.0,True,1,0.26666666666666666,0.537,396.5327,397.0697,ok
StandWalkJump,stl_tree,1000,3,1.0,True,1,0.4666666666666666,3.4162,396.5327,399.9489,ok
StandWalkJump,stl_linear,1000,3,1.0,True,2,0.3333333333333333,0.5522,402.3984,402.9506,ok
StandWalkJump,stl_tree,1000,3,1.0,True,2,0.3333333333333333,3.3808,402.3984,405.7792,ok
StandWalkJump,stl_linear,1000,3,1.0,True,3,0.20000000000000004,0.5747,495.7392,496.3139,ok
StandWalkJump,stl_tree,1000,3,1.0,True,3,0.26666666666666666,3.3926,495.7392,499.1318,ok
StandWalkJump,stl_linear,1000,3,1.0,True,4,0.20000000000000004,0.5447,453.3952,453.9399,ok
StandWalkJump,stl_tree,1000,3,1.0,True,4,0.4000000000000001,2.7481,453.3952,456.1433,ok
StandWalkJump,stl_linear,1000,3,1.0,True,5,0.26666666666666666,0.5599,471.1552,471.7151,ok
StandWalkJump,stl_tree,1000,3,1.0,True,5,0.4666666666666666,3.4734,471.1552,474.6286,ok
StandWalkJump,stl_linear,1000,3,1.0,True,6,0.3333333333333333,0.5054,420.5752,421.0806,ok
StandWalkJump,stl_tree,1000,3,1.0,True,6,0.6,3.4807,420.5752,424.0559,ok
StandWalkJump,stl_linear,1000,3,1.0,True,7,0.13333333333333333,0.5375,391.2049,391.7424,ok
StandWalkJump,stl_tree,1000,3,1.0,True,7,0.26666666666666666,2.813,391.2049,394.0179,ok
StandWalkJump,stl_linear,1000,3,1.0,True,8,0.26666666666666666,0.5603,420.075,420.6353,ok
StandWalkJump,stl_tree,1000,3,1.0,True,8,0.3333333333333333,2.6819,420.075,422.7569,ok
StandWalkJump,stl_linear,1000,3,1.0,True,9,0.3333333333333333,0.5538,459.4846,460.0384,ok
StandWalkJump,stl_tree,1000,3,1.0,True,9,0.20000000000000004,3.4934,459.4846,462.978,ok
