dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,10,1,0.0,True,0,0.64375,0.9735,0.027,1.0005,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,0,0.46875,2.3254,0.027,2.3524,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,1,0.7093750000000001,1.5993,0.0102,1.6095,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,1,0.553125,0.2311,0.0102,0.2413,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,2,0.55625,1.1835,0.0087,1.1922,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,2,0.54375,0.2295,0.0087,0.2382,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,3,0.609375,0.9353,0.0076,0.9429,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,3,0.490625,0.2261,0.0076,0.2337,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,4,0.665625,1.134,0.0075,1.1415,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,4,0.603125,0.2185,0.0075,0.226,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,5,0.575,1.1583,0.0082,1.1665,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,5,0.553125,0.2228,0.0082,0.231,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,6,0.6343749999999999,1.5655,0.007,1.5725,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,6,0.60625,0.2145,0.007,0.2215,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,7,0.5062499999999999,1.178,0.0095,1.1875,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,7,0.48750000000000004,0.1952,0.0095,0.2047,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,8,0.521875,1.1309,0.0096,1.1405,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,8,0.490625,0.1941,0.0096,0.2037,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,9,0.41875,1.2469,0.0093,1.2562,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,9,0.353125,0.2296,0.0093,0.2389,ok
