dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,100,1,0.0,True,0,0.815625,1.1507,0.0891,1.2398,ok
UWaveGestureLibrary,stl_tree,100,1,0.0,True,0,0.6593749999999999,2.5304,0.0891,2.6195,ok
UWaveGestureLibrary,stl_linear,100,1,0.0,True,1,0.84375,1.1987,0.0724,1.2711,ok
UWaveGestureLibrary,stl_tree,100,1,0.0,True,1,0.596875,0.4224,0.0724,0.4948,ok
UWaveGestureLibrary,stl_linear,100,1,0.0,True,2,0.8343750000000001,1.2371,0.0745,1.3116,ok
UWaveGestureLibrary,stl_tree,100,1,0.0,True,2,0.70625,0.4235,0.0745,0.498,ok
UWaveGestureLibrary,stl_linear,100,1,0.0,True,3,0.846875,1.1729,0.0736,1.2465,ok
UWaveGestureLibrary,stl_tree,100,1,0.0,True,3,0.6781250000000001,0.3947,0.0736,0.4683,ok
UWaveGestureLibrary,stl_linear,100,1,0.0,True,4,0.8375,1.1463,0.0768,1.2231,ok
UWaveGestureLibrary,stl_tree,100,1,0.0,True,4,0.65,0.4118,0.0768,0.4886,ok
UWaveGestureLibrary,stl_linear,100,1,0.0,True,5,0.853125,1.1225,0.0736,1.1961,ok
UWaveGestureLibrary,stl_tree,100,1,0.0,True,5,0.6593749999999999,0.4027,0.0736,0.4763,ok
UWaveGestureLibrary,stl_linear,100,1,0.0,True,6,0.840625,1.2658,0.0788,1.3446,ok
UWaveGestureLibrary,stl_tree,100,1,0.0,True,6,0.65625,0.412,0.0788,0.4908,ok
UWaveGestureLibrary,stl_linear,100,1,0.0,True,7,0.81875,1.1525,0.0697,1.2222,ok
UWaveGestureLibrary,stl_tree,100,1,0.0,True,7,0.671875,0.4213,0.0697,0.491,ok
UWaveGestureLibrary,stl_linear,100,1,0.0,True,8,0.815625,1.1437,0.08,1.2237,ok
UWaveGestureLibrary,stl_tree,100,1,0.0,True,8,0.5625,0.4421,0.08,0.5221,ok
UWaveGestureLibrary,stl_linear,100,1,0.0,True,9,0.83125,1.267,0.0794,1.3464,ok
UWaveGestureLibrary,stl_tree,100,1,0.0,True,9,0.64375,0.4094,0.0794,0.4888,ok
