dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,1000,1,0.0,True,0,0.84375,3.1239,0.8247,3.9486,ok
UWaveGestureLibrary,stl_tree,1000,1,0.0,True,0,0.675,4.0125,0.8247,4.8372,ok
UWaveGestureLibrary,stl_linear,1000,1,0.0,True,1,0.875,3.1715,0.7376,3.9091,ok
UWaveGestureLibrary,stl_tree,1000,1,0.0,True,1,0.609375,1.7859,0.7376,2.5235,ok
UWaveGestureLibrary,stl_linear,1000,1,0.0,True,2,0.86875,3.5206,0.6681,4.1887,ok
UWaveGestureLibrary,stl_tree,1000,1,0.0,True,2,0.675,1.7934,0.6681,2.4615,ok
UWaveGestureLibrary,stl_linear,1000,1,0.0,True,3,0.875,3.2908,0.6587,3.9495,ok
UWaveGestureLibrary,stl_tree,1000,1,0.0,True,3,0.715625,1.7798,0.6587,2.4385,ok
UWaveGestureLibrary,stl_linear,1000,1,0.0,True,4,0.875,3.442,0.6114,4.0534,ok
UWaveGestureLibrary,stl_tree,1000,1,0.0,True,4,0.65625,1.7401,0.6114,2.3515,ok
UWaveGestureLibrary,stl_linear,1000,1,0.0,True,5,0.865625,3.2032,0.6818,3.885,ok
UWaveGestureLibrary,stl_tree,1000,1,0.0,True,5,0.66875,1.7849,0.6818,2.4667,ok
UWaveGestureLibrary,stl_linear,1000,1,0.0,True,6,0.8812500000000001,3.2031,0.7115,3.9146,ok
UWaveGestureLibrary,stl_tree,1000,1,0.0,True,6,0.653125,1.7784,0.7115,2.4899,ok
UWaveGestureLibrary,stl_linear,1000,1,0.0,True,7,0.809375,3.0257,0.6309,3.6566,ok
UWaveGestureLibrary,stl_tree,1000,1,0.0,True,7,0.628125,1.8386,0.6309,2.4695,ok
UWaveGestureLibrary,stl_linear,1000,1,0.0,True,8,0.80625,3.0594,0.6493,3.7087,ok
UWaveGestureLibrary,stl_tree,1000,1,0.0,True,8,0.659375,1.8219,0.6493,2.4712,ok
UWaveGestureLibrary,stl_linear,1000,1,0.0,True,9,0.859375,3.0928,0.6739,3.7667,ok
UWaveGestureLibrary,stl_tree,1000,1,0.0,True,9,0.7124999999999999,1.7676,0.6739,2.4415,ok
