dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,10,1,0.0,True,0,0.64375,0.9905,0.0235,1.014,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,0,0.46875,2.4124,0.0235,2.4359,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,1,0.7093750000000001,1.571,0.0096,1.5806,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,1,0.553125,0.2093,0.0096,0.2189,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,2,0.55625,1.1723,0.0089,1.1812,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,2,0.54375,0.2245,0.0089,0.2334,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,3,0.609375,0.9328,0.0077,0.9405,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,3,0.490625,0.2039,0.0077,0.2116,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,4,0.665625,1.1032,0.0075,1.1107,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,4,0.603125,0.2137,0.0075,0.2212,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,5,0.575,1.2105,0.0083,1.2188,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,5,0.553125,0.1966,0.0083,0.2049,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,6,0.6343749999999999,1.5642,0.0071,1.5713,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,6,0.60625,0.2048,0.0071,0.2119,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,7,0.5062499999999999,1.1908,0.009,1.1998,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,7,0.48750000000000004,0.2152,0.009,0.2242,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,8,0.521875,1.1474,0.0098,1.1572,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,8,0.490625,0.1944,0.0098,0.2042,ok
UWaveGestureLibrary,stl_linear,10,1,0.0,True,9,0.41875,1.276,0.0093,1.2853,ok
UWaveGestureLibrary,stl_tree,10,1,0.0,True,9,0.353125,0.2253,0.0093,0.2346,ok
