dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,10000,1,0.0,True,0,0.8250000000000001,23.7794,8.3921,32.1715,ok
UWaveGestureLibrary,stl_tree,10000,1,0.0,True,0,0.653125,19.1172,8.3921,27.5093,ok
UWaveGestureLibrary,stl_linear,10000,1,0.0,True,1,0.84375,27.4313,8.075,35.5063,ok
UWaveGestureLibrary,stl_tree,10000,1,0.0,True,1,0.6312500000000001,15.7907,8.075,23.8657,ok
UWaveGestureLibrary,stl_linear,10000,1,0.0,True,2,0.825,25.417,7.9455,33.3625,ok
UWaveGestureLibrary,stl_tree,10000,1,0.0,True,2,0.6,16.1021,7.9455,24.0476,ok
UWaveGestureLibrary,stl_linear,10000,1,0.0,True,3,0.8375,23.5116,7.9899,31.5015,ok
UWaveGestureLibrary,stl_tree,10000,1,0.0,True,3,0.678125,16.5433,7.9899,24.5332,ok
UWaveGestureLibrary,stl_linear,10000,1,0.0,True,4,0.859375,26.0186,7.3315,33.3501,ok
UWaveGestureLibrary,stl_tree,10000,1,0.0,True,4,0.6000000000000001,16.2455,7.3315,23.577,ok
UWaveGestureLibrary,stl_linear,10000,1,0.0,True,5,0.821875,25.1041,7.1144,32.2185,ok
UWaveGestureLibrary,stl_tree,10000,1,0.0,True,5,0.6625,16.1703,7.1144,23.2847,ok
UWaveGestureLibrary,stl_linear,10000,1,0.0,True,6,0.846875,24.5407,7.0876,31.6283,ok
UWaveGestureLibrary,stl_tree,10000,1,0.0,True,6,0.671875,16.0172,7.0876,23.1048,ok
UWaveGestureLibrary,stl_linear,10000,1,0.0,True,7,0.8375,25.7409,7.2053,32.9462,ok
UWaveGestureLibrary,stl_tree,10000,1,0.0,True,7,0.69375,15.9025,7.2053,23.1078,ok
UWaveGestureLibrary,stl_linear,10000,1,0.0,True,8,0.828125,24.3796,7.5061,31.8857,ok
UWaveGestureLibrary,stl_tree,10000,1,0.0,True,8,0.59375,16.4254,7.5061,23.9315,ok
UWaveGestureLibrary,stl_linear,10000,1,0.0,True,9,0.859375,24.1838,7.167,31.3508,ok
UWaveGestureLibrary,stl_tree,10000,1,0.0,True,9,0.6375,15.9954,7.167,23.1624,ok
