dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,10,2,0.0,True,0,0.6187499999999999,1.541,0.0159,1.5569,ok
UWaveGestureLibrary,stl_tree,10,2,0.0,True,0,0.509375,2.4819,0.0159,2.4978,ok
UWaveGestureLibrary,stl_linear,10,2,0.0,True,1,0.571875,1.1984,0.0129,1.2113,ok
UWaveGestureLibrary,stl_tree,10,2,0.0,True,1,0.475,0.2033,0.0129,0.2162,ok
UWaveGestureLibrary,stl_linear,10,2,0.0,True,2,0.6375000000000001,1.1819,0.0099,1.1918,ok
UWaveGestureLibrary,stl_tree,10,2,0.0,True,2,0.53125,0.2085,0.0099,0.2184,ok
UWaveGestureLibrary,stl_linear,10,2,0.0,True,3,0.5687500000000001,0.8919,0.0104,0.9023,ok
UWaveGestureLibrary,stl_tree,10,2,0.0,True,3,0.459375,0.1983,0.0104,0.2087,ok
UWaveGestureLibrary,stl_linear,10,2,0.0,True,4,0.609375,0.9109,0.0098,0.9207,ok
UWaveGestureLibrary,stl_tree,10,2,0.0,True,4,0.509375,0.2444,0.0098,0.2542,ok
UWaveGestureLibrary,stl_linear,10,2,0.0,True,5,0.5968749999999999,1.495,0.0098,1.5048,ok
UWaveGestureLibrary,stl_tree,10,2,0.0,True,5,0.5656249999999999,0.1991,0.0098,0.2089,ok
UWaveGestureLibrary,stl_linear,10,2,0.0,True,6,0.684375,1.0354,0.0088,1.0442,ok
UWaveGestureLibrary,stl_tree,10,2,0.0,True,6,0.55,0.2046,0.0088,0.2134,ok
UWaveGestureLibrary,stl_linear,10,2,0.0,True,7,0.5875,1.2067,0.01,1.2167,ok
UWaveGestureLibrary,stl_tree,10,2,0.0,True,7,0.621875,0.216,0.01,0.226,ok
UWaveGestureLibrary,stl_linear,10,2,0.0,True,8,0.60625,0.7321,0.0092,0.7413,ok
UWaveGestureLibrary,stl_tree,10,2,0.0,True,8,0.5,0.1993,0.0092,0.2085,ok
UWaveGestureLibrary,stl_linear,10,2,0.0,True,9,0.575,1.1938,0.0122,1.206,ok
UWaveGestureLibrary,stl_tree,10,2,0.0,True,9,0.41250000000000003,0.1957,0.0122,0.2079,ok
