dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,1000,2,0.0,True,0,0.878125,2.4667,0.8558,3.3225,ok
UWaveGestureLibrary,stl_tree,1000,2,0.0,True,0,0.671875,3.9259,0.8558,4.7817,ok
UWaveGestureLibrary,stl_linear,1000,2,0.0,True,1,0.85625,2.2836,0.8178,3.1014,ok
UWaveGestureLibrary,stl_tree,1000,2,0.0,True,1,0.665625,1.8117,0.8178,2.6295,ok
UWaveGestureLibrary,stl_linear,1000,2,0.0,True,2,0.853125,2.6944,0.7846,3.479,ok
UWaveGestureLibrary,stl_tree,1000,2,0.0,True,2,0.678125,1.7793,0.7846,2.5639,ok
UWaveGestureLibrary,stl_linear,1000,2,0.0,True,3,0.853125,2.7158,0.8643,3.5801,ok
UWaveGestureLibrary,stl_tree,1000,2,0.0,True,3,0.625,1.7967,0.8643,2.661,ok
UWaveGestureLibrary,stl_linear,1000,2,0.0,True,4,0.828125,2.5693,0.8846,3.4539,ok
UWaveGestureLibrary,stl_tree,1000,2,0.0,True,4,0.634375,1.7317,0.8846,2.6163,ok
UWaveGestureLibrary,stl_linear,1000,2,0.0,True,5,0.76875,2.7007,0.7572,3.4579,ok
UWaveGestureLibrary,stl_tree,1000,2,0.0,True,5,0.6625,1.8239,0.7572,2.5811,ok
UWaveGestureLibrary,stl_linear,1000,2,0.0,True,6,0.81875,2.4571,0.8004,3.2575,ok
UWaveGestureLibrary,stl_tree,1000,2,0.0,True,6,0.6062500000000001,1.7669,0.8004,2.5673,ok
UWaveGestureLibrary,stl_linear,1000,2,0.0,True,7,0.8625,2.6873,0.8006,3.4879,ok
UWaveGestureLibrary,stl_tree,1000,2,0.0,True,7,0.6031249999999999,1.8234,0.8006,2.624,ok
UWaveGestureLibrary,stl_linear,1000,2,0.0,True,8,0.784375,2.3046,0.7431,3.0477,ok
UWaveGestureLibrary,stl_tree,1000,2,0.0,True,8,0.61875,1.8431,0.7431,2.5862,ok
UWaveGestureLibrary,stl_linear,1000,2,0.0,True,9,0.84375,2.2011,0.8067,3.0078,ok
UWaveGestureLibrary,stl_tree,1000,2,0.0,True,9,0.665625,1.7448,0.8067,2.5515,ok
