dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,10000,2,0.0,True,0,0.85,10.4181,9.7245,20.1426,ok
UWaveGestureLibrary,stl_tree,10000,2,0.0,True,0,0.640625,18.1594,9.7245,27.8839,ok
UWaveGestureLibrary,stl_linear,10000,2,0.0,True,1,0.840625,9.3722,8.8188,18.191,ok
UWaveGestureLibrary,stl_tree,10000,2,0.0,True,1,0.684375,15.3996,8.8188,24.2184,ok
UWaveGestureLibrary,stl_linear,10000,2,0.0,True,2,0.859375,8.7375,8.0048,16.7423,ok
UWaveGestureLibrary,stl_tree,10000,2,0.0,True,2,0.625,15.0112,8.0048,23.016,ok
UWaveGestureLibrary,stl_linear,10000,2,0.0,True,3,0.884375,9.1469,7.882,17.0289,ok
UWaveGestureLibrary,stl_tree,10000,2,0.0,True,3,0.7124999999999999,15.3759,7.882,23.2579,ok
UWaveGestureLibrary,stl_linear,10000,2,0.0,True,4,0.8062499999999999,9.025,7.9471,16.9721,ok
UWaveGestureLibrary,stl_tree,10000,2,0.0,True,4,0.646875,15.0563,7.9471,23.0034,ok
UWaveGestureLibrary,stl_linear,10000,2,0.0,True,5,0.8562500000000001,11.4514,8.0027,19.4541,ok
UWaveGestureLibrary,stl_tree,10000,2,0.0,True,5,0.746875,15.5556,8.0027,23.5583,ok
UWaveGestureLibrary,stl_linear,10000,2,0.0,True,6,0.84375,9.723,8.0005,17.7235,ok
UWaveGestureLibrary,stl_tree,10000,2,0.0,True,6,0.6625000000000001,15.029,8.0005,23.0295,ok
UWaveGestureLibrary,stl_linear,10000,2,0.0,True,7,0.846875,9.6501,7.8718,17.5219,ok
UWaveGestureLibrary,stl_tree,10000,2,0.0,True,7,0.721875,14.2004,7.8718,22.0722,ok
UWaveGestureLibrary,stl_linear,10000,2,0.0,True,8,0.884375,8.6795,7.8574,16.5369,ok
UWaveGestureLibrary,stl_tree,10000,2,0.0,True,8,0.64375,16.3596,7.8574,24.217,ok
UWaveGestureLibrary,stl_linear,10000,2,0.0,True,9,0.8687499999999999,8.9408,8.0553,16.9961,ok
UWaveGestureLibrary,stl_tree,10000,2,0.0,True,9,0.65625,16.1387,8.0553,24.194,ok
