dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,10,3,0.0,True,0,0.65625,1.1146,0.0267,1.1413,ok
UWaveGestureLibrary,stl_tree,10,3,0.0,True,0,0.503125,2.4663,0.0267,2.493,ok
UWaveGestureLibrary,stl_linear,10,3,0.0,True,1,0.55625,1.0582,0.0127,1.0709,ok
UWaveGestureLibrary,stl_tree,10,3,0.0,True,1,0.50625,0.2149,0.0127,0.2276,ok
UWaveGestureLibrary,stl_linear,10,3,0.0,True,2,0.478125,1.1179,0.0116,1.1295,ok
UWaveGestureLibrary,stl_tree,10,3,0.0,True,2,0.38750000000000007,0.2339,0.0116,0.2455,ok
UWaveGestureLibrary,stl_linear,10,3,0.0,True,3,0.5843750000000001,0.9134,0.0097,0.9231,ok
UWaveGestureLibrary,stl_tree,10,3,0.0,True,3,0.4625,0.217,0.0097,0.2267,ok
UWaveGestureLibrary,stl_linear,10,3,0.0,True,4,0.621875,0.9382,0.0113,0.9495,ok
UWaveGestureLibrary,stl_tree,10,3,0.0,True,4,0.453125,0.2116,0.0113,0.2229,ok
UWaveGestureLibrary,stl_linear,10,3,0.0,True,5,0.609375,1.3131,0.01,1.3231,ok
UWaveGestureLibrary,stl_tree,10,3,0.0,True,5,0.525,0.2469,0.01,0.2569,ok
UWaveGestureLibrary,stl_linear,10,3,0.0,True,6,0.634375,1.1509,0.0101,1.161,ok
UWaveGestureLibrary,stl_tree,10,3,0.0,True,6,0.509375,0.2203,0.0101,0.2304,ok
UWaveGestureLibrary,stl_linear,10,3,0.0,True,7,0.59375,0.7892,0.01,0.7992,ok
UWaveGestureLibrary,stl_tree,10,3,0.0,True,7,0.46875,0.2423,0.01,0.2523,ok
UWaveGestureLibrary,stl_linear,10,3,0.0,True,8,0.590625,1.3577,0.0104,1.3681,ok
UWaveGestureLibrary,stl_tree,10,3,0.0,True,8,0.48125000000000007,0.2053,0.0104,0.2157,ok
UWaveGestureLibrary,stl_linear,10,3,0.0,True,9,0.578125,1.5493,0.0117,1.561,ok
UWaveGestureLibrary,stl_tree,10,3,0.0,True,9,0.540625,0.2314,0.0117,0.2431,ok
