dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,100,3,0.0,True,0,0.834375,1.0346,0.099,1.1336,ok
UWaveGestureLibrary,stl_tree,100,3,0.0,True,0,0.60625,2.6798,0.099,2.7788,ok
UWaveGestureLibrary,stl_linear,100,3,0.0,True,1,0.83125,1.1817,0.0957,1.2774,ok
UWaveGestureLibrary,stl_tree,100,3,0.0,True,1,0.6375,0.4461,0.0957,0.5418,ok
UWaveGestureLibrary,stl_linear,100,3,0.0,True,2,0.790625,1.0012,0.098,1.0992,ok
UWaveGestureLibrary,stl_tree,100,3,0.0,True,2,0.621875,0.3916,0.098,0.4896,ok
UWaveGestureLibrary,stl_linear,100,3,0.0,True,3,0.796875,1.1766,0.1004,1.277,ok
UWaveGestureLibrary,stl_tree,100,3,0.0,True,3,0.6062500000000001,0.4171,0.1004,0.5175,ok
UWaveGestureLibrary,stl_linear,100,3,0.0,True,4,0.834375,1.118,0.1059,1.2239,ok
UWaveGestureLibrary,stl_tree,100,3,0.0,True,4,0.6031249999999999,0.4423,0.1059,0.5482,ok
UWaveGestureLibrary,stl_linear,100,3,0.0,True,5,0.8374999999999999,1.1264,0.0979,1.2243,ok
UWaveGestureLibrary,stl_tree,100,3,0.0,True,5,0.71875,0.4432,0.0979,0.5411,ok
UWaveGestureLibrary,stl_linear,100,3,0.0,True,6,0.809375,1.1261,0.102,1.2281,ok
UWaveGestureLibrary,stl_tree,100,3,0.0,True,6,0.5718749999999999,0.4154,0.102,0.5174,ok
UWaveGestureLibrary,stl_linear,100,3,0.0,True,7,0.8312499999999999,1.03,0.1024,1.1324,ok
UWaveGestureLibrary,stl_tree,100,3,0.0,True,7,0.59375,0.3894,0.1024,0.4918,ok
UWaveGestureLibrary,stl_linear,100,3,0.0,True,8,0.8218749999999999,1.1006,0.0955,1.1961,ok
UWaveGestureLibrary,stl_tree,100,3,0.0,True,8,0.690625,0.4569,0.0955,0.5524,ok
UWaveGestureLibrary,stl_linear,100,3,0.0,True,9,0.846875,1.0281,0.1024,1.1305,ok
UWaveGestureLibrary,stl_tree,100,3,0.0,True,9,0.578125,0.4027,0.1024,0.5051,ok
