dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,1000,3,0.0,True,0,0.8125,2.4305,0.9835,3.414,ok
UWaveGestureLibrary,stl_tree,1000,3,0.0,True,0,0.703125,4.0722,0.9835,5.0557,ok
UWaveGestureLibrary,stl_linear,1000,3,0.0,True,1,0.765625,2.5003,0.9597,3.46,ok
UWaveGestureLibrary,stl_tree,1000,3,0.0,True,1,0.7562500000000001,1.8003,0.9597,2.76,ok
UWaveGestureLibrary,stl_linear,1000,3,0.0,True,2,0.865625,2.5638,1.0525,3.6163,ok
UWaveGestureLibrary,stl_tree,1000,3,0.0,True,2,0.634375,1.7888,1.0525,2.8413,ok
UWaveGestureLibrary,stl_linear,1000,3,0.0,True,3,0.85,2.2026,0.9456,3.1482,ok
UWaveGestureLibrary,stl_tree,1000,3,0.0,True,3,0.71875,1.756,0.9456,2.7016,ok
UWaveGestureLibrary,stl_linear,1000,3,0.0,True,4,0.875,2.1845,0.896,3.0805,ok
UWaveGestureLibrary,stl_tree,1000,3,0.0,True,4,0.6312500000000001,1.7615,0.896,2.6575,ok
UWaveGestureLibrary,stl_linear,1000,3,0.0,True,5,0.8125,2.3437,0.8693,3.213,ok
UWaveGestureLibrary,stl_tree,1000,3,0.0,True,5,0.678125,1.7505,0.8693,2.6198,ok
UWaveGestureLibrary,stl_linear,1000,3,0.0,True,6,0.83125,2.3381,0.9073,3.2454,ok
UWaveGestureLibrary,stl_tree,1000,3,0.0,True,6,0.69375,1.8023,0.9073,2.7096,ok
UWaveGestureLibrary,stl_linear,1000,3,0.0,True,7,0.8374999999999999,2.1795,0.9295,3.109,ok
UWaveGestureLibrary,stl_tree,1000,3,0.0,True,7,0.6375,1.7498,0.9295,2.6793,ok
UWaveGestureLibrary,stl_linear,1000,3,0.0,True,8,0.8625,2.5616,0.9276,3.4892,ok
UWaveGestureLibrary,stl_tree,1000,3,0.0,True,8,0.68125,1.8066,0.9276,2.7342,ok
UWaveGestureLibrary,stl_linear,1000,3,0.0,True,9,0.80625,2.1868,0.9054,3.0922,ok
UWaveGestureLibrary,stl_tree,1000,3,0.0,True,9,0.634375,1.8111,0.9054,2.7165,ok
