dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,10000,3,0.0,True,0,0.85,8.3674,10.128,18.4954,ok
UWaveGestureLibrary,stl_tree,10000,3,0.0,True,0,0.6656249999999999,18.012,10.128,28.14,ok
UWaveGestureLibrary,stl_linear,10000,3,0.0,True,1,0.8625,7.7939,10.02,17.8139,ok
UWaveGestureLibrary,stl_tree,10000,3,0.0,True,1,0.671875,15.3561,10.02,25.3761,ok
UWaveGestureLibrary,stl_linear,10000,3,0.0,True,2,0.871875,8.1382,9.9138,18.052,ok
UWaveGestureLibrary,stl_tree,10000,3,0.0,True,2,0.721875,15.7827,9.9138,25.6965,ok
UWaveGestureLibrary,stl_linear,10000,3,0.0,True,3,0.859375,8.4577,9.1705,17.6282,ok
UWaveGestureLibrary,stl_tree,10000,3,0.0,True,3,0.728125,15.7707,9.1705,24.9412,ok
UWaveGestureLibrary,stl_linear,10000,3,0.0,True,4,0.85,7.652,9.4146,17.0666,ok
UWaveGestureLibrary,stl_tree,10000,3,0.0,True,4,0.6812499999999999,16.0568,9.4146,25.4714,ok
UWaveGestureLibrary,stl_linear,10000,3,0.0,True,5,0.871875,7.4819,9.1335,16.6154,ok
UWaveGestureLibrary,stl_tree,10000,3,0.0,True,5,0.7,16.0315,9.1335,25.165,ok
UWaveGestureLibrary,stl_linear,10000,3,0.0,True,6,0.8375,7.6595,9.8665,17.526,ok
UWaveGestureLibrary,stl_tree,10000,3,0.0,True,6,0.6625000000000001,15.6378,9.8665,25.5043,ok
UWaveGestureLibrary,stl_linear,10000,3,0.0,True,7,0.8343750000000001,8.4243,9.3375,17.7618,ok
UWaveGestureLibrary,stl_tree,10000,3,0.0,True,7,0.61875,15.9582,9.3375,25.2957,ok
UWaveGestureLibrary,stl_linear,10000,3,0.0,True,8,0.85625,8.3321,9.3611,17.6932,ok
UWaveGestureLibrary,stl_tree,10000,3,0.0,True,8,0.690625,15.7713,9.3611,25.1324,ok
UWaveGestureLibrary,stl_linear,10000,3,0.0,True,9,0.8624999999999999,8.3047,9.6561,17.9608,ok
UWaveGestureLibrary,stl_tree,10000,3,0.0,True,9,0.653125,16.3439,9.6561,26.0,ok
