dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,10,1,1.0,True,0,0.65,1.4595,1.6071,3.0666,ok
UWaveGestureLibrary,stl_tree,10,1,1.0,True,0,0.540625,2.6171,1.6071,4.2242,ok
UWaveGestureLibrary,stl_linear,10,1,1.0,True,1,0.571875,1.2886,0.5523,1.8409,ok
UWaveGestureLibrary,stl_tree,10,1,1.0,True,1,0.44999999999999996,0.2158,0.5523,0.7681,ok
UWaveGestureLibrary,stl_linear,10,1,1.0,True,2,0.75,1.3862,1.0955,2.4817,ok
UWaveGestureLibrary,stl_tree,10,1,1.0,True,2,0.6687500000000001,0.2302,1.0955,1.3257,ok
UWaveGestureLibrary,stl_linear,10,1,1.0,True,3,0.6124999999999999,1.4581,0.1731,1.6312,ok
UWaveGestureLibrary,stl_tree,10,1,1.0,True,3,0.515625,0.2306,0.1731,0.4037,ok
UWaveGestureLibrary,stl_linear,10,1,1.0,True,4,0.65625,1.4527,0.1744,1.6271,ok
UWaveGestureLibrary,stl_tree,10,1,1.0,True,4,0.484375,0.2173,0.1744,0.3917,ok
UWaveGestureLibrary,stl_linear,10,1,1.0,True,5,0.65625,1.3196,0.0737,1.3933,ok
UWaveGestureLibrary,stl_tree,10,1,1.0,True,5,0.528125,0.236,0.0737,0.3097,ok
UWaveGestureLibrary,stl_linear,10,1,1.0,True,6,0.7000000000000001,0.9774,0.551,1.5284,ok
UWaveGestureLibrary,stl_tree,10,1,1.0,True,6,0.55625,0.2447,0.551,0.7957,ok
UWaveGestureLibrary,stl_linear,10,1,1.0,True,7,0.528125,0.8925,0.0261,0.9186,ok
UWaveGestureLibrary,stl_tree,10,1,1.0,True,7,0.44375000000000003,0.2283,0.0261,0.2544,ok
UWaveGestureLibrary,stl_linear,10,1,1.0,True,8,0.60625,1.2504,0.1985,1.4489,ok
UWaveGestureLibrary,stl_tree,10,1,1.0,True,8,0.54375,0.2304,0.1985,0.4289,ok
UWaveGestureLibrary,stl_linear,10,1,1.0,True,9,0.49375,1.1821,0.6429,1.825,ok
UWaveGestureLibrary,stl_tree,10,1,1.0,True,9,0.446875,0.232,0.6429,0.8749,ok
