dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,100,1,1.0,True,0,0.85,1.1808,10.0187,11.1995,ok
UWaveGestureLibrary,stl_tree,100,1,1.0,True,0,0.678125,2.9291,10.0187,12.9478,ok
UWaveGestureLibrary,stl_linear,100,1,1.0,True,1,0.846875,1.3422,5.2583,6.6005,ok
UWaveGestureLibrary,stl_tree,100,1,1.0,True,1,0.553125,0.4726,5.2583,5.7309,ok
UWaveGestureLibrary,stl_linear,100,1,1.0,True,2,0.865625,1.1533,8.4518,9.6051,ok
UWaveGestureLibrary,stl_tree,100,1,1.0,True,2,0.696875,0.3989,8.4518,8.8507,ok
UWaveGestureLibrary,stl_linear,100,1,1.0,True,3,0.890625,1.1539,4.4942,5.6481,ok
UWaveGestureLibrary,stl_tree,100,1,1.0,True,3,0.646875,0.4455,4.4942,4.9397,ok
UWaveGestureLibrary,stl_linear,100,1,1.0,True,4,0.84375,1.2357,8.2234,9.4591,ok
UWaveGestureLibrary,stl_tree,100,1,1.0,True,4,0.6343749999999999,0.4361,8.2234,8.6595,ok
UWaveGestureLibrary,stl_linear,100,1,1.0,True,5,0.84375,1.1727,10.0563,11.229,ok
UWaveGestureLibrary,stl_tree,100,1,1.0,True,5,0.578125,0.5886,10.0563,10.6449,ok
UWaveGestureLibrary,stl_linear,100,1,1.0,True,6,0.828125,1.2445,6.643,7.8875,ok
UWaveGestureLibrary,stl_tree,100,1,1.0,True,6,0.63125,0.4908,6.643,7.1338,ok
UWaveGestureLibrary,stl_linear,100,1,1.0,True,7,0.865625,1.2441,3.6914,4.9355,ok
UWaveGestureLibrary,stl_tree,100,1,1.0,True,7,0.6875,0.4387,3.6914,4.1301,ok
UWaveGestureLibrary,stl_linear,100,1,1.0,True,8,0.834375,1.1874,5.6426,6.83,ok
UWaveGestureLibrary,stl_tree,100,1,1.0,True,8,0.646875,0.5023,5.6426,6.1449,ok
UWaveGestureLibrary,stl_linear,100,1,1.0,True,9,0.85625,1.2242,9.3436,10.5678,ok
UWaveGestureLibrary,stl_tree,100,1,1.0,True,9,0.7625000000000001,0.4443,9.3436,9.7879,ok
