dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,1000,1,1.0,True,0,0.8968750000000001,2.6847,87.3115,89.9962,ok
UWaveGestureLibrary,stl_tree,1000,1,1.0,True,0,0.68125,4.4829,87.3115,91.7944,ok
UWaveGestureLibrary,stl_linear,1000,1,1.0,True,1,0.859375,2.6482,67.8415,70.4897,ok
UWaveGestureLibrary,stl_tree,1000,1,1.0,True,1,0.6656249999999999,1.8882,67.8415,69.7297,ok
UWaveGestureLibrary,stl_linear,1000,1,1.0,True,2,0.85625,2.987,66.9285,69.9155,ok
UWaveGestureLibrary,stl_tree,1000,1,1.0,True,2,0.640625,1.8261,66.9285,68.7546,ok
UWaveGestureLibrary,stl_linear,1000,1,1.0,True,3,0.84375,2.8321,66.6332,69.4653,ok
UWaveGestureLibrary,stl_tree,1000,1,1.0,True,3,0.66875,1.7462,66.6332,68.3794,ok
UWaveGestureLibrary,stl_linear,1000,1,1.0,True,4,0.865625,2.8068,69.3008,72.1076,ok
UWaveGestureLibrary,stl_tree,1000,1,1.0,True,4,0.675,1.8398,69.3008,71.1406,ok
UWaveGestureLibrary,stl_linear,1000,1,1.0,True,5,0.875,2.4675,71.7278,74.1953,ok
UWaveGestureLibrary,stl_tree,1000,1,1.0,True,5,0.6812500000000001,1.8567,71.7278,73.5845,ok
UWaveGestureLibrary,stl_linear,1000,1,1.0,True,6,0.8718750000000001,2.5478,73.9803,76.5281,ok
UWaveGestureLibrary,stl_tree,1000,1,1.0,True,6,0.68125,1.8722,73.9803,75.8525,ok
UWaveGestureLibrary,stl_linear,1000,1,1.0,True,7,0.8562500000000001,2.6061,64.7331,67.3392,ok
UWaveGestureLibrary,stl_tree,1000,1,1.0,True,7,0.678125,1.7809,64.7331,66.514,ok
UWaveGestureLibrary,stl_linear,1000,1,1.0,True,8,0.8625,2.8105,61.4241,64.2346,ok
UWaveGestureLibrary,stl_tree,1000,1,1.0,True,8,0.65,1.8686,61.4241,63.2927,ok
UWaveGestureLibrary,stl_linear,1000,1,1.0,True,9,0.821875,2.436,74.2064,76.6424,ok
UWaveGestureLibrary,stl_tree,1000,1,1.0,True,9,0.68125,1.809,74.2064,76.0154,ok
