dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,1000,2,1.0,True,0,0.884375,2.4098,105.5279,107.9377,ok
UWaveGestureLibrary,stl_tree,1000,2,1.0,True,0,0.628125,5.0252,105.5279,110.5531,ok
UWaveGestureLibrary,stl_linear,1000,2,1.0,True,1,0.878125,2.3035,92.9745,95.278,ok
UWaveGestureLibrary,stl_tree,1000,2,1.0,True,1,0.65625,1.8812,92.9745,94.8557,ok
UWaveGestureLibrary,stl_linear,1000,2,1.0,True,2,0.89375,2.4669,95.9644,98.4313,ok
UWaveGestureLibrary,stl_tree,1000,2,1.0,True,2,0.6781250000000001,1.8131,95.9644,97.7775,ok
UWaveGestureLibrary,stl_linear,1000,2,1.0,True,3,0.8843749999999999,2.4413,100.5598,103.0011,ok
UWaveGestureLibrary,stl_tree,1000,2,1.0,True,3,0.703125,1.8595,100.5598,102.4193,ok
UWaveGestureLibrary,stl_linear,1000,2,1.0,True,4,0.8875,2.1542,99.9695,102.1237,ok
UWaveGestureLibrary,stl_tree,1000,2,1.0,True,4,0.653125,1.8501,99.9695,101.8196,ok
UWaveGestureLibrary,stl_linear,1000,2,1.0,True,5,0.834375,2.6754,98.1842,100.8596,ok
UWaveGestureLibrary,stl_tree,1000,2,1.0,True,5,0.6343749999999999,1.8853,98.1842,100.0695,ok
UWaveGestureLibrary,stl_linear,1000,2,1.0,True,6,0.8625,2.3852,93.6461,96.0313,ok
UWaveGestureLibrary,stl_tree,1000,2,1.0,True,6,0.7124999999999999,1.8762,93.6461,95.5223,ok
UWaveGestureLibrary,stl_linear,1000,2,1.0,True,7,0.84375,2.8063,82.5985,85.4048,ok
UWaveGestureLibrary,stl_tree,1000,2,1.0,True,7,0.690625,1.8324,82.5985,84.4309,ok
UWaveGestureLibrary,stl_linear,1000,2,1.0,True,8,0.871875,2.2831,86.0768,88.3599,ok
UWaveGestureLibrary,stl_tree,1000,2,1.0,True,8,0.671875,1.8511,86.0768,87.9279,ok
UWaveGestureLibrary,stl_linear,1000,2,1.0,True,9,0.85625,2.5228,97.4321,99.9549,ok
UWaveGestureLibrary,stl_tree,1000,2,1.0,True,9,0.7125,1.8415,97.4321,99.2736,ok
