dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,10,3,1.0,True,0,0.621875,1.2211,2.3741,3.5952,ok
UWaveGestureLibrary,stl_tree,10,3,1.0,True,0,0.55,3.2914,2.3741,5.6655,ok
UWaveGestureLibrary,stl_linear,10,3,1.0,True,1,0.5375,1.071,1.7154,2.7864,ok
UWaveGestureLibrary,stl_tree,10,3,1.0,True,1,0.55,0.2761,1.7154,1.9915,ok
UWaveGestureLibrary,stl_linear,10,3,1.0,True,2,0.6,0.9679,0.8636,1.8315,ok
UWaveGestureLibrary,stl_tree,10,3,1.0,True,2,0.478125,0.2852,0.8636,1.1488,ok
UWaveGestureLibrary,stl_linear,10,3,1.0,True,3,0.70625,1.6049,2.6942,4.2991,ok
UWaveGestureLibrary,stl_tree,10,3,1.0,True,3,0.6000000000000001,0.2525,2.6942,2.9467,ok
UWaveGestureLibrary,stl_linear,10,3,1.0,True,4,0.69375,1.8074,0.7731,2.5805,ok
UWaveGestureLibrary,stl_tree,10,3,1.0,True,4,0.47500000000000003,0.2888,0.7731,1.0619,ok
UWaveGestureLibrary,stl_linear,10,3,1.0,True,5,0.54375,1.9224,0.9062,2.8286,ok
UWaveGestureLibrary,stl_tree,10,3,1.0,True,5,0.48125,0.2728,0.9062,1.179,ok
UWaveGestureLibrary,stl_linear,10,3,1.0,True,6,0.6343749999999999,0.8022,0.6429,1.4451,ok
UWaveGestureLibrary,stl_tree,10,3,1.0,True,6,0.503125,0.2991,0.6429,0.942,ok
UWaveGestureLibrary,stl_linear,10,3,1.0,True,7,0.671875,1.3928,1.0157,2.4085,ok
UWaveGestureLibrary,stl_tree,10,3,1.0,True,7,0.503125,0.293,1.0157,1.3087,ok
UWaveGestureLibrary,stl_linear,10,3,1.0,True,8,0.590625,1.0302,1.6038,2.634,ok
UWaveGestureLibrary,stl_tree,10,3,1.0,True,8,0.446875,0.3132,1.6038,1.917,ok
UWaveGestureLibrary,stl_linear,10,3,1.0,True,9,0.5125,0.969,1.0034,1.9724,ok
UWaveGestureLibrary,stl_tree,10,3,1.0,True,9,0.440625,0.3097,1.0034,1.3131,ok
