dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,100,3,1.0,True,0,0.84375,1.3411,13.6244,14.9655,ok
UWaveGestureLibrary,stl_tree,100,3,1.0,True,0,0.6968749999999999,3.3111,13.6244,16.9355,ok
UWaveGestureLibrary,stl_linear,100,3,1.0,True,1,0.8374999999999999,1.2427,11.2656,12.5083,ok
UWaveGestureLibrary,stl_tree,100,3,1.0,True,1,0.715625,0.4532,11.2656,11.7188,ok
UWaveGestureLibrary,stl_linear,100,3,1.0,True,2,0.7875,1.2561,15.574,16.8301,ok
UWaveGestureLibrary,stl_tree,100,3,1.0,True,2,0.5531250000000001,0.5418,15.574,16.1158,ok
UWaveGestureLibrary,stl_linear,100,3,1.0,True,3,0.846875,1.1565,14.6311,15.7876,ok
UWaveGestureLibrary,stl_tree,100,3,1.0,True,3,0.6000000000000001,0.4838,14.6311,15.1149,ok
UWaveGestureLibrary,stl_linear,100,3,1.0,True,4,0.821875,1.2986,11.3707,12.6693,ok
UWaveGestureLibrary,stl_tree,100,3,1.0,True,4,0.70625,0.4427,11.3707,11.8134,ok
UWaveGestureLibrary,stl_linear,100,3,1.0,True,5,0.7875,1.173,15.872,17.045,ok
UWaveGestureLibrary,stl_tree,100,3,1.0,True,5,0.5843750000000001,0.5224,15.872,16.3944,ok
UWaveGestureLibrary,stl_linear,100,3,1.0,True,6,0.8343750000000001,1.2895,13.3264,14.6159,ok
UWaveGestureLibrary,stl_tree,100,3,1.0,True,6,0.6062500000000001,0.4838,13.3264,13.8102,ok
UWaveGestureLibrary,stl_linear,100,3,1.0,True,7,0.8624999999999999,1.2669,9.3143,10.5812,ok
UWaveGestureLibrary,stl_tree,100,3,1.0,True,7,0.69375,0.488,9.3143,9.8023,ok
UWaveGestureLibrary,stl_linear,100,3,1.0,True,8,0.7937500000000001,1.2338,10.7162,11.95,ok
UWaveGestureLibrary,stl_tree,100,3,1.0,True,8,0.659375,0.4512,10.7162,11.1674,ok
UWaveGestureLibrary,stl_linear,100,3,1.0,True,9,0.81875,1.3215,14.2636,15.5851,ok
UWaveGestureLibrary,stl_tree,100,3,1.0,True,9,0.66875,0.5594,14.2636,14.823,ok
