dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,1000,3,1.0,True,0,0.871875,2.3597,136.1381,138.4978,ok
UWaveGestureLibrary,stl_tree,1000,3,1.0,True,0,0.659375,5.3576,136.1381,141.4957,ok
UWaveGestureLibrary,stl_linear,1000,3,1.0,True,1,0.84375,2.2623,119.4966,121.7589,ok
UWaveGestureLibrary,stl_tree,1000,3,1.0,True,1,0.615625,1.9545,119.4966,121.4511,ok
UWaveGestureLibrary,stl_linear,1000,3,1.0,True,2,0.846875,2.5611,114.2295,116.7906,ok
UWaveGestureLibrary,stl_tree,1000,3,1.0,True,2,0.66875,1.9879,114.2295,116.2174,ok
UWaveGestureLibrary,stl_linear,1000,3,1.0,True,3,0.815625,2.5413,133.3293,135.8706,ok
UWaveGestureLibrary,stl_tree,1000,3,1.0,True,3,0.678125,1.897,133.3293,135.2263,ok
UWaveGestureLibrary,stl_linear,1000,3,1.0,True,4,0.8156249999999999,2.6081,125.6196,128.2277,ok
UWaveGestureLibrary,stl_tree,1000,3,1.0,True,4,0.6468749999999999,1.8645,125.6196,127.4841,ok
UWaveGestureLibrary,stl_linear,1000,3,1.0,True,5,0.846875,2.5524,129.5059,132.0583,ok
UWaveGestureLibrary,stl_tree,1000,3,1.0,True,5,0.6343749999999999,1.9782,129.5059,131.4841,ok
UWaveGestureLibrary,stl_linear,1000,3,1.0,True,6,0.846875,2.4426,124.6193,127.0619,ok
UWaveGestureLibrary,stl_tree,1000,3,1.0,True,6,0.7093750000000001,1.9888,124.6193,126.6081,ok
UWaveGestureLibrary,stl_linear,1000,3,1.0,True,7,0.88125,2.5144,108.8211,111.3355,ok
UWaveGestureLibrary,stl_tree,1000,3,1.0,True,7,0.678125,1.9206,108.8211,110.7417,ok
UWaveGestureLibrary,stl_linear,1000,3,1.0,True,8,0.871875,2.1232,116.4513,118.5745,ok
UWaveGestureLibrary,stl_tree,1000,3,1.0,True,8,0.7437499999999999,1.9495,116.4513,118.4008,ok
UWaveGestureLibrary,stl_linear,1000,3,1.0,True,9,0.825,2.2121,112.7927,115.0048,ok
UWaveGestureLibrary,stl_tree,1000,3,1.0,True,9,0.68125,1.8817,112.7927,114.6744,ok
