dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,stl_linear,10000,3,1.0,True,0,0.8999999999999999,8.4275,1085.4867,1093.9142,ok
UWaveGestureLibrary,stl_tree,10000,3,1.0,True,0,0.69375,19.5342,1085.4867,1105.0209,ok
UWaveGestureLibrary,stl_linear,10000,3,1.0,True,1,0.903125,8.1092,1021.0859,1029.1951,ok
UWaveGestureLibrary,stl_tree,10000,3,1.0,True,1,0.640625,19.6766,1021.0859,1040.7625,ok
UWaveGestureLibrary,stl_linear,10000,3,1.0,True,2,0.8875,7.7554,1024.9656,1032.721,ok
UWaveGestureLibrary,stl_tree,10000,3,1.0,True,2,0.640625,19.2918,1024.9656,1044.2574,ok
UWaveGestureLibrary,stl_linear,10000,3,1.0,True,3,0.8843749999999999,8.086,1098.7528,1106.8388,ok
UWaveGestureLibrary,stl_tree,10000,3,1.0,True,3,0.715625,20.0464,1098.7528,1118.7992,ok
UWaveGestureLibrary,stl_linear,10000,3,1.0,True,4,0.865625,8.5707,1058.8648,1067.4355,ok
UWaveGestureLibrary,stl_tree,10000,3,1.0,True,4,0.653125,19.6607,1058.8648,1078.5255,ok
UWaveGestureLibrary,stl_linear,10000,3,1.0,True,5,0.8781249999999999,8.8139,1055.1861,1064.0,ok
UWaveGestureLibrary,stl_tree,10000,3,1.0,True,5,0.675,20.054,1055.1861,1075.2401,ok
UWaveGestureLibrary,stl_linear,10000,3,1.0,True,6,0.90625,8.4742,1105.2307,1113.7049,ok
UWaveGestureLibrary,stl_tree,10000,3,1.0,True,6,0.671875,19.9829,1105.2307,1125.2136,ok
UWaveGestureLibrary,stl_linear,10000,3,1.0,True,7,0.875,8.672,1090.7831,1099.4551,ok
UWaveGestureLibrary,stl_tree,10000,3,1.0,True,7,0.703125,19.6771,1090.7831,1110.4602,ok
UWaveGestureLibrary,stl_linear,10000,3,1.0,True,8,0.86875,7.6728,1054.9507,1062.6235,ok
UWaveGestureLibrary,stl_tree,10000,3,1.0,True,8,0.734375,19.7113,1054.9507,1074.662,ok
UWaveGestureLibrary,stl_linear,10000,3,1.0,True,9,0.8875,9.516,1085.3301,1094.8461,ok
UWaveGestureLibrary,stl_tree,10000,3,1.0,True,9,0.646875,19.6607,1085.3301,1104.9908,ok
