sample_idx,target_class,formula,n_picks,depth,precision_train,n_tp,n_fp
0,standing,"( G[21,76]( (x_0 => 5.372) ∨ (x_0 <= 1.3033) ) )",1,2,1.0,10,0
1,standing,"( G[21,76]( (x_0 => 5.372) ∨ (x_0 <= 1.3033) ) )",1,2,1.0,10,0
2,standing,"( G[21,76]( (x_0 => 5.372) ∨ (x_0 <= 1.3033) ) )",1,2,1.0,10,0
3,standing,"( G[21,76]( (x_0 => 5.372) ∨ (x_0 <= 1.3033) ) )",1,2,1.0,10,0
4,standing,"( G[21,76]( (x_0 => 5.372) ∨ (x_0 <= 1.3033) ) )",1,2,1.0,10,0
5,standing,"( G[21,76]( (x_0 => 5.372) ∨ (x_0 <= 1.3033) ) )",1,2,1.0,10,0
6,standing,"( G[21,76]( (x_0 => 5.372) ∨ (x_0 <= 1.3033) ) )",1,2,1.0,10,0
7,standing,"( G[21,76]( (x_0 => 5.372) ∨ (x_0 <= 1.3033) ) )",1,2,1.0,10,0
8,standing,"( G[21,76]( (x_0 => 5.372) ∨ (x_0 <= 1.3033) ) )",1,2,1.0,10,0
9,standing,"( G[21,76]( (x_0 => 5.372) ∨ (x_0 <= 1.3033) ) )",1,2,1.0,10,0
10,running,"( (x_4 => -6.9681) ∧ ( F[1,14](x_0 <= -6.8958) ) )",1,2,1.0,10,0
11,running,"( (x_4 => -6.9681) ∧ ( F[1,14](x_0 <= -6.8958) ) )",1,2,1.0,10,0
12,running,"( (x_4 => -6.9681) ∧ ( F[1,14](x_0 <= -6.8958) ) )",1,2,1.0,10,0
13,running,"( (x_4 => -6.9681) ∧ ( F[1,14](x_0 <= -6.8958) ) )",1,2,1.0,10,0
14,running,"( (x_4 => -6.9681) ∧ ( F[1,14](x_0 <= -6.8958) ) )",1,2,1.0,10,0
15,running,"( (x_4 => -6.9681) ∧ ( F[1,14](x_0 <= -6.8958) ) )",1,2,1.0,10,0
16,running,"( (x_4 => -6.9681) ∧ ( F[1,14](x_0 <= -6.8958) ) )",1,2,1.0,10,0
17,running,"( (x_4 => -6.9681) ∧ ( F[1,14](x_0 <= -6.8958) ) )",1,2,1.0,10,0
18,running,"( (x_4 => -6.9681) ∧ ( F[1,14](x_0 <= -6.8958) ) )",1,2,1.0,10,0
19,running,"( (x_4 => -6.9681) ∧ ( F[1,14](x_0 <= -6.8958) ) )",1,2,1.0,10,0
20,walking,"( ( ( G[7,95](x_0 <= 19.9228) ) ∧ (x_5 <= 0.0413) ) ∧ ( F[21,76]( (x_0 <= 3.8299) ∧ (x_0 => 2.8454) ) ) )",2,3,0.857143,6,1
