sample_idx,target_class,formula,n_picks,depth,precision_train,n_tp,n_fp
0,9.0,"( ( F( (x_5 <= -2.5373) ∧ (x_2 => -0.439) ) ) ∧ ( G[107,inf]( (x_4 => 2.0129) ∨ (x_4 <= 1.4285) ) ) )",2,3,1.0,2,0
1,1.0,"( ( F( G[179,382](x_2 => 0.7128) ) ) ∧ ( F[949,inf]( (x_3 => -10.9265) ∧ (x_5 <= 17.2996) ) ) )",1,3,0.8,8,2
2,1.0,"( ( F( G[179,382](x_2 => 0.7128) ) ) ∧ ( F[949,inf]( (x_3 => -10.9265) ∧ (x_5 <= 17.2996) ) ) )",1,3,0.8,8,2
3,1.0,"( ( F[163,inf]( (x_1 <= -0.4553) ∧ (x_2 => 4.0868) ) ) ∧ ( G[1036,inf]( (x_3 => -0.5835) ∧ (x_3 <= -0.0573) ) ) )",2,3,1.0,4,0
4,1.0,"( ( F( G[179,382](x_2 => 0.7128) ) ) ∧ ( F[949,inf]( (x_3 => -10.9265) ∧ (x_5 <= 17.2996) ) ) )",1,3,0.8,8,2
5,1.0,"( ( F( G[179,382](x_2 => 0.7128) ) ) ∧ ( F[949,inf]( (x_3 => -10.9265) ∧ (x_5 <= 17.2996) ) ) )",1,3,0.8,8,2
6,2.0,"( F[260,inf]( (x_3 <= -2.1642) ∧ (x_5 <= -0.48) ) )",1,2,1.0,9,0
7,2.0,"( F[260,inf]( (x_3 <= -2.1642) ∧ (x_5 <= -0.48) ) )",1,2,1.0,9,0
8,2.0,"( F[260,inf]( (x_3 <= -2.1642) ∧ (x_5 <= -0.48) ) )",1,2,1.0,9,0
9,2.0,"( F[260,inf]( (x_3 <= -2.1642) ∧ (x_5 <= -0.48) ) )",1,2,1.0,9,0
10,2.0,"( F[260,inf]( (x_3 <= -2.1642) ∧ (x_5 <= -0.48) ) )",1,2,1.0,9,0
11,2.0,"( F[260,inf]( (x_3 <= -2.1642) ∧ (x_5 <= -0.48) ) )",1,2,1.0,9,0
12,3.0,"( G( F[207,338](x_5 <= -0.2001) ) )",1,2,0.888889,8,1
13,3.0,"( G( F[207,338](x_5 <= -0.2001) ) )",1,2,0.888889,8,1
14,3.0,"( G( F[207,338](x_5 <= -0.2001) ) )",1,2,0.888889,8,1
