sample_idx,target_class,formula,n_picks,depth,precision_train,n_tp,n_fp
0,2,"( ( G[30,32](x_3 <= -0.3091) ) ∨ ( F[7,inf](x_2 <= -2.2187) ) )",1,2,1.0,5,0
1,2,"( ( G[30,32](x_3 <= -0.3091) ) ∨ ( F[7,inf](x_2 <= -2.2187) ) )",1,2,1.0,5,0
2,5,"( F[24,35]( (x_0 <= -1.3835) ∨ ( F(x_3 <= -2.0317) ) ) )",1,3,1.0,3,0
3,3,"( ( F[35,38](x_0 => -0.2431) ) ∧ ( F[9,35](x_3 => 1.8251) ) )",1,2,1.0,5,0
4,6,"( G[0,28](x_2 => 0.1013) )",1,1,1.0,5,0
5,3,"( ( F[35,38](x_0 => -0.2431) ) ∧ ( F[9,35](x_3 => 1.8251) ) )",1,2,1.0,5,0
6,2,"( ( G[30,32](x_3 <= -0.3091) ) ∨ ( F[7,inf](x_2 <= -2.2187) ) )",1,2,1.0,5,0
7,5,"( G[5,inf]( (x_1 <= 0.6908) ∨ ( G(x_0 <= 0.7317) ) ) )",1,3,1.0,3,0
8,3,"( ( F(x_3 => 2.2259) ) ∨ ( F[22,25](x_3 => 1.5246) ) )",1,2,1.0,3,0
9,5,"( F[24,35]( (x_0 <= -1.3835) ∨ ( F(x_3 <= -2.0317) ) ) )",1,3,1.0,3,0
10,6,"( G[0,28](x_2 => 0.1013) )",1,1,1.0,5,0
11,6,"( G[0,28](x_2 => 0.1013) )",1,1,1.0,5,0
12,5,"( G[5,inf]( (x_1 <= 0.6908) ∨ ( G(x_0 <= 0.7317) ) ) )",1,3,1.0,3,0
13,2,"( ( G[30,32](x_3 <= -0.3091) ) ∨ ( F[7,inf](x_2 <= -2.2187) ) )",1,2,1.0,5,0
14,5,"( G[5,inf]( (x_1 <= 0.6908) ∨ ( G(x_0 <= 0.7317) ) ) )",1,3,1.0,3,0
15,1,( G( (x_0 <= -2.0796) ∨ ( (x_0 => -0.7983) ∨ (x_0 => -0.0883) ) ) ),1,3,1.0,3,0
16,5,"( F[24,35]( (x_0 <= -1.3835) ∨ ( F(x_3 <= -2.0317) ) ) )",1,3,1.0,3,0
17,3,"( ( F[35,38](x_0 => -0.2431) ) ∧ ( F[9,35](x_3 => 1.8251) ) )",1,2,1.0,5,0
18,2,"( ( G[30,32](x_3 <= -0.3091) ) ∨ ( F[7,inf](x_2 <= -2.2187) ) )",1,2,1.0,5,0
19,1,( G( (x_0 <= -2.0796) ∨ ( (x_0 => -0.7983) ∨ (x_0 => -0.0883) ) ) ),1,3,1.0,3,0
20,4,"( G[38,45]( ( (x_0 => 4.2208) ∨ (x_1 => 1.1241) ) ∨ (x_0 <= -2.9814) ) )",1,3,1.0,4,0
21,4,"( G[38,45]( ( (x_0 => 4.2208) ∨ (x_1 => 1.1241) ) ∨ (x_0 <= -2.9814) ) )",1,3,1.0,4,0
22,2,"( ( G[30,32](x_3 <= -0.3091) ) ∨ ( F[7,inf](x_2 <= -2.2187) ) )",1,2,1.0,5,0
23,4,"( ( G[4,7](x_3 <= -1.3311) ) ∨ ( G( (x_3 => -0.0615) ∨ (x_1 => -0.9243) ) ) )",1,3,1.0,4,0
24,5,"( F[24,35]( (x_0 <= -1.3835) ∨ ( F(x_3 <= -2.0317) ) ) )",1,3,1.0,3,0
25,6,"( G[0,28](x_2 => 0.1013) )",1,1,1.0,5,0
26,1,"( G[23,49](x_0 <= 0.1628) )",1,1,0.833333,5,1
27,4,"( ( G[4,7](x_3 <= -1.3311) ) ∨ ( G( (x_3 => -0.0615) ∨ (x_1 => -0.9243) ) ) )",1,3,1.0,4,0
28,5,"( G[5,inf]( (x_1 <= 0.6908) ∨ ( G(x_0 <= 0.7317) ) ) )",1,3,1.0,3,0
29,5,"( G[5,inf]( (x_1 <= 0.6908) ∨ ( G(x_0 <= 0.7317) ) ) )",1,3,1.0,3,0
30,5,"( G[10,11]( (x_1 <= 0.5587) ∧ (x_0 => 0.0615) ) )",1,2,0.833333,5,1
31,6,"( G[0,28](x_2 => 0.1013) )",1,1,1.0,5,0
32,1,( G( (x_0 <= -2.0796) ∨ ( (x_0 => -0.7983) ∨ (x_0 => -0.0883) ) ) ),1,3,1.0,3,0
33,3,"( ( (x_0 <= -0.9662) ∧ (x_2 <= -0.3501) ) ∨ ( G[8,inf](x_2 <= 0.0112) ) )",1,2,0.8,4,1
34,3,"( ( F[35,38](x_0 => -0.2431) ) ∧ ( F[9,35](x_3 => 1.8251) ) )",1,2,1.0,5,0
35,2,"( ( G[30,32](x_3 <= -0.3091) ) ∨ ( F[7,inf](x_2 <= -2.2187) ) )",1,2,1.0,5,0
36,1,"( ( G[21,43]( (x_0 => 0.6656) ∨ (x_0 <= -0.3925) ) ) ∧ ( ( F[30,32](x_3 => 1.0131) ) ∧ ( G[7,inf](x_2 => -0.8964) ) ) )",2,3,1.0,3,0
37,2,"( ( G[30,32](x_3 <= -0.3091) ) ∨ ( F[7,inf](x_2 <= -2.2187) ) )",1,2,1.0,5,0
38,2,"( ( G[30,32](x_3 <= -0.3091) ) ∨ ( F[7,inf](x_2 <= -2.2187) ) )",1,2,1.0,5,0
39,5,( ( (x_0 => -0.9497) ∧ ( G(x_0 <= 1.5546) ) ) ∧ ( (x_3 <= 1.3533) ∧ (x_2 <= 0.455) ) ),1,3,0.833333,5,1
40,2,"( ( G[30,32](x_3 <= -0.3091) ) ∨ ( F[7,inf](x_2 <= -2.2187) ) )",1,2,1.0,5,0
41,4,"( ( G[4,7](x_3 <= -1.3311) ) ∨ ( G( (x_3 => -0.0615) ∨ (x_1 => -0.9243) ) ) )",1,3,1.0,4,0
42,4,"( G[38,45]( ( (x_0 => 4.2208) ∨ (x_1 => 1.1241) ) ∨ (x_0 <= -2.9814) ) )",1,3,1.0,4,0
43,6,"( G[0,28](x_2 => 0.1013) )",1,1,1.0,5,0
44,1,( G( (x_0 <= -2.0796) ∨ ( (x_0 => -0.7983) ∨ (x_0 => -0.0883) ) ) ),1,3,1.0,3,0
45,1,( G( (x_0 <= -2.0796) ∨ ( (x_0 => -0.7983) ∨ (x_0 => -0.0883) ) ) ),1,3,1.0,3,0
46,5,"( F[24,35]( (x_0 <= -1.3835) ∨ ( F(x_3 <= -2.0317) ) ) )",1,3,1.0,3,0
47,1,"( G[23,49](x_0 <= 0.1628) )",1,1,0.833333,5,1
48,6,"( G[0,28](x_2 => 0.1013) )",1,1,1.0,5,0
