sample_idx,target_class,formula,n_picks,depth,precision_train,n_tp,n_fp
0,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
1,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
2,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
3,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
4,epilepsy,"( ( G[76,inf]( (x_0 => -1.7282) ∧ (x_0 <= 1.0675) ) ) ∧ ( ( F[90,inf](x_1 <= -0.6631) ) ∧ ( F[43,inf](x_1 => 1.12) ) ) )",2,3,1.0,16,0
5,epilepsy,"( ( G[146,inf]( (x_0 <= 1.277) ∧ (x_0 => -1.053) ) ) ∧ ( F[35,73]( (x_2 <= 0.9298) ∧ (x_2 => 0.4525) ) ) )",2,3,0.9375,15,1
6,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
7,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
8,epilepsy,"( ( ( G[7,38](x_0 => -1.3007) ) ∧ ( (x_0 <= 0.4979) ∧ (x_0 <= 1.4457) ) ) ∧ ( F( G[45,53](x_0 <= 0.005) ) ) )",2,3,0.909091,20,2
9,epilepsy,"( ( ( ( G[7,38](x_0 => -1.3007) ) ∧ ( (x_0 <= 0.4979) ∧ (x_0 <= 1.4457) ) ) ∧ ( ( F[90,inf](x_1 <= -0.6631) ) ∧ ( F[43,inf](x_1 => 1.12) ) ) ) ∧ ( F( (x_1 <= 0.3679) ∧ (x_1 => 0.3479) ) ) )",3,4,1.0,8,0
10,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
11,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
12,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
13,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
14,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
15,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
16,epilepsy,"( ( G[146,inf]( (x_0 <= 1.277) ∧ (x_0 => -1.053) ) ) ∧ ( G[76,inf]( (x_0 => -1.7282) ∧ (x_0 <= 1.0675) ) ) )",2,3,1.0,26,0
17,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
18,epilepsy,( G( (x_0 <= 1.3272) ∧ (x_0 => -1.2484) ) ),1,2,0.833333,25,5
