sample_idx,target_class,formula,n_picks,depth,precision_train,n_tp,n_fp
0,right,"( ( ( ( G[334,350](x_6 <= 128.0212) ) ∧ ( G[271,289]( (x_3 <= 163.1817) ∨ (x_4 => 1235.8037) ) ) ) ∧ ( G[351,inf]( F[1,4](x_1 => -124.4264) ) ) ) ∧ ( G[27,155]( ( (x_8 => 311.0936) ∨ (x_9 <= 329.2808) ) ∨ (x_2 <= -183.6337) ) ) )",4,5,0.8,4,1
1,forward,"( ( F[339,366](x_9 => 190.2406) ) ∧ ( G[58,217](x_4 <= 351.919) ) )",2,2,0.772727,17,5
2,forward,"( ( F[339,366](x_9 => 190.2406) ) ∧ ( G[58,217](x_4 <= 351.919) ) )",2,2,0.772727,17,5
3,right,"( ( ( F[230,277](x_8 => 256.5498) ) ∧ ( G[271,289]( (x_3 <= 163.1817) ∨ (x_4 => 1235.8037) ) ) ) ∧ ( (x_1 => 945.3544) ∨ ( F[259,279](x_6 => 274.1539) ) ) )",3,4,0.888889,8,1
4,backward,"( ( ( F[280,371]( G[5,21](x_4 <= -21.3153) ) ) ∧ ( F[203,268](x_2 => 302.2879) ) ) ∧ ( G[356,379]( (x_0 => -26.9268) ∨ ( (x_2 <= -426.2994) ∨ (x_1 <= -6.9186) ) ) ) )",3,4,0.875,7,1
5,right,"( ( ( G[294,332](x_8 <= 199.2436) ) ∧ ( F[230,277](x_8 => 256.5498) ) ) ∧ ( G( (x_2 <= 408.5827) ∧ (x_1 => -584.1992) ) ) )",3,3,0.8,8,2
6,left,"( ( ( G[105,107]( (x_3 <= -3.3842) ∨ (x_7 => 190.5418) ) ) ∧ ( G[69,331](x_6 => -403.6438) ) ) ∧ ( G[48,49](x_4 => -44.5582) ) )",3,4,0.909091,10,1
7,forward,"( ( F[339,366](x_9 => 190.2406) ) ∧ ( G[58,217](x_4 <= 351.919) ) )",2,2,0.772727,17,5
8,backward,"( ( ( G[226,235](x_9 <= 113.3517) ) ∧ ( G[182,262]( (x_4 => -261.4852) ∧ ( (x_4 => -341.0963) ∧ (x_0 => -480.8715) ) ) ) ) ∧ ( G[271,289]( (x_3 <= 187.6235) ∨ (x_4 => 1211.362) ) ) )",3,5,0.75,9,3
9,left,"( ( ( ( G[307,352]( ( (x_5 <= 86.4902) ∨ (x_9 <= 170.5034) ) ∧ (x_8 <= 219.8433) ) ) ∧ ( G[168,393]( F(x_3 => 153.9694) ) ) ) ∧ ( ( G[140,inf](x_0 => 641.7157) ) ∨ ( F[1,24](x_9 => 237.5322) ) ) ) ∧ ( F[27,155]( ( (x_8 <= 301.359) ∧ (x_9 => 339.0155) ) ∧ (x_2 => -173.899) ) ) )",4,6,0.833333,5,1
10,right,"( ( ( G[294,332](x_8 <= 199.2436) ) ∧ ( ( F[260,275]( (x_3 <= -196.6181) ∧ (x_0 <= 910.1168) ) ) ∧ ( F[171,230](x_2 <= 890.9938) ) ) ) ∧ ( G[173,inf]( (x_6 => -451.8496) ∧ (x_0 <= 442.2851) ) ) )",3,5,0.833333,5,1
11,forward,"( ( ( ( F[339,366](x_9 => 190.2406) ) ∧ ( F[71,142](x_7 => 364.1725) ) ) ∧ ( ( F[163,254]( (x_6 <= -341.9798) ∨ (x_0 <= -943.7857) ) ) ∨ ( G[23,52](x_0 <= -312.6111) ) ) ) ∧ ( F[307,352]( ( (x_5 => 162.5952) ∧ (x_9 => 246.6084) ) ∨ (x_8 => 295.9483) ) ) )",4,5,0.857143,6,1
12,right,"( ( ( ( ( G[244,262](x_1 => -174.6241) ) ∨ (x_0 <= -368.9697) ) ∨ ( ( (x_1 <= -427.7002) ∧ (x_4 <= 252.9524) ) ∧ (x_1 => 796.1882) ) ) ∧ ( ( F[260,275]( (x_3 <= -196.6181) ∧ (x_0 <= 910.1168) ) ) ∧ ( F[171,230](x_2 <= 890.9938) ) ) ) ∧ ( F[230,277](x_8 => 256.5498) ) )",3,5,1.0,6,0
13,forward,"( ( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( F[146,184](x_6 <= -291.346) ) ) ∧ ( F[307,352]( ( (x_5 => 162.5952) ∧ (x_9 => 246.6084) ) ∨ (x_8 => 295.9483) ) ) )",3,4,0.916667,11,1
14,forward,"( ( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( F[146,184](x_6 <= -291.346) ) ) ∧ ( F[311,324](x_4 => 207.2803) ) )",3,4,1.0,8,0
15,forward,"( ( ( F[146,184](x_6 <= -291.346) ) ∧ ( G[177,261]( F[14,99](x_7 <= -284.0311) ) ) ) ∧ ( ( G[0,3]( F[82,394](x_7 => 485.3408) ) ) ∨ ( (x_9 <= -167.2717) ∨ (x_1 => 233.2303) ) ) )",3,4,0.769231,10,3
16,right,"( ( ( ( G[294,332](x_8 <= 199.2436) ) ∧ ( ( F[260,275]( (x_3 <= -196.6181) ∧ (x_0 <= 910.1168) ) ) ∧ ( F[171,230](x_2 <= 890.9938) ) ) ) ∧ ( G[334,350](x_6 <= 128.0212) ) ) ∧ ( G( (x_4 => 176.0416) ∨ (x_3 <= 310.7287) ) ) )",4,6,1.0,2,0
17,forward,"( ( ( F[146,184](x_6 <= -291.346) ) ∧ ( F[18,35](x_1 => 197.4109) ) ) ∧ ( G[275,325](x_3 => -227.814) ) )",3,3,0.769231,10,3
18,backward,"( ( ( (x_3 => -809.348) ∧ ( G[273,306](x_6 <= 232.519) ) ) ∧ ( F[104,326]( (x_4 => 249.3631) ∧ (x_3 <= 90.8718) ) ) ) ∧ ( G[124,127]( (x_6 => 163.1384) ∨ ( (x_2 <= -15.375) ∨ (x_8 <= -598.728) ) ) ) )",3,4,0.833333,5,1
19,backward,"( ( ( ( F[280,371]( G[5,21](x_4 <= -21.3153) ) ) ∧ ( ( F[220,236](x_2 => 184.3551) ) ∨ (x_8 => 236.4686) ) ) ∧ ( G[356,379]( (x_0 => -26.9268) ∨ ( (x_2 <= -426.2994) ∨ (x_1 <= -6.9186) ) ) ) ) ∧ ( G[16,171](x_8 => -338.9164) ) )",4,5,0.857143,6,1
20,forward,"( ( ( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( F[307,352]( ( (x_5 => 162.5952) ∧ (x_9 => 246.6084) ) ∨ (x_8 => 295.9483) ) ) ) ∧ ( G[270,inf]( ( G[21,23](x_8 => -182.1668) ) ∨ (x_1 <= 228.7798) ) ) ) ∧ ( F[155,inf]( (x_4 <= 196.7577) ∧ (x_3 => 304.9574) ) ) )",4,6,1.0,5,0
21,forward,"( ( F[339,366](x_9 => 190.2406) ) ∧ ( G[58,217](x_4 <= 351.919) ) )",2,2,0.772727,17,5
22,forward,"( ( ( F[339,366](x_9 => 190.2406) ) ∧ ( F[18,35](x_1 => 197.4109) ) ) ∧ ( F( (x_4 <= 169.8374) ∧ (x_3 => 316.933) ) ) )",3,3,0.769231,10,3
23,forward,"( ( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( F[146,184](x_6 <= -291.346) ) ) ∧ ( G[58,217](x_4 <= 351.919) ) )",3,4,1.0,7,0
24,forward,"( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( G[275,325](x_3 => -227.814) ) )",2,3,0.75,12,4
25,forward,"( ( ( F[339,366](x_9 => 190.2406) ) ∧ ( F[146,184](x_6 <= -291.346) ) ) ∧ ( ( G[323,inf]( F(x_3 => 174.1981) ) ) ∨ ( ( (x_3 => 203.0609) ∨ (x_2 <= -146.9379) ) ∨ (x_3 => 376.5198) ) ) )",3,4,0.777778,7,2
26,forward,"( ( F[339,366](x_9 => 190.2406) ) ∧ ( G[58,217](x_4 <= 351.919) ) )",2,2,0.772727,17,5
27,backward,"( ( ( ( F[280,371]( G[5,21](x_4 <= -21.3153) ) ) ∧ ( G[135,191](x_6 => -265.779) ) ) ∧ ( G[356,379]( (x_0 => -26.9268) ∨ ( (x_2 <= -426.2994) ∨ (x_1 <= -6.9186) ) ) ) ) ∧ ( ( G(x_9 => -311.5813) ) ∨ ( ( (x_0 <= 0.795) ∧ (x_1 => -332.6644) ) ∧ ( G(x_8 => -515.2257) ) ) ) )",4,5,0.833333,5,1
28,forward,"( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( G[275,325](x_3 => -227.814) ) )",2,3,0.75,12,4
29,right,"( ( ( G[13,inf]( (x_8 => -195.7026) ∨ (x_1 => -379.3688) ) ) ∧ ( F[230,277](x_8 => 256.5498) ) ) ∧ ( G( (x_2 <= 408.5827) ∧ (x_1 => -584.1992) ) ) )",3,4,1.0,4,0
30,left,"( ( ( G[105,107]( (x_3 <= -3.3842) ∨ (x_7 => 190.5418) ) ) ∧ ( G[369,inf]( (x_3 => -195.1516) ∨ (x_1 <= -484.3964) ) ) ) ∧ ( F[142,341](x_2 <= -384.7937) ) )",3,4,0.75,12,4
31,forward,"( ( F[339,366](x_9 => 190.2406) ) ∧ ( G[58,217](x_4 <= 351.919) ) )",2,2,0.772727,17,5
32,forward,"( ( ( F[311,324](x_4 => 207.2803) ) ∧ ( G[270,inf]( ( G[21,23](x_8 => -182.1668) ) ∨ (x_1 <= 228.7798) ) ) ) ∧ ( F[71,142](x_7 => 364.1725) ) )",3,5,0.785714,11,3
33,forward,"( ( ( ( ( F[244,262](x_1 <= -256.7054) ) ∧ (x_0 => -286.8883) ) ∧ ( ( (x_1 => -345.6189) ∨ (x_4 => 335.0338) ) ∨ (x_1 <= 714.107) ) ) ∧ ( G[58,217](x_4 <= 351.919) ) ) ∧ ( G[230,277](x_8 <= 183.204) ) )",3,5,0.75,9,3
34,right,"( ( ( G[334,350](x_6 <= 128.0212) ) ∧ ( ( F[260,275]( (x_3 <= -196.6181) ∧ (x_0 <= 910.1168) ) ) ∧ ( F[171,230](x_2 <= 890.9938) ) ) ) ∧ ( G[251,307]( (x_6 => -253.1372) ∨ (x_9 => 285.7523) ) ) )",3,5,1.0,5,0
35,right,"( ( ( G[294,332](x_8 <= 199.2436) ) ∧ ( ( F[260,275]( (x_3 <= -196.6181) ∧ (x_0 <= 910.1168) ) ) ∧ ( F[171,230](x_2 <= 890.9938) ) ) ) ∧ ( G[173,inf]( (x_6 => -451.8496) ∧ (x_0 <= 442.2851) ) ) )",3,5,0.833333,5,1
36,left,"( ( ( G[105,107]( (x_3 <= -3.3842) ∨ (x_7 => 190.5418) ) ) ∧ ( ( F[163,254]( (x_6 <= -322.0034) ∨ (x_0 <= -923.8093) ) ) ∨ ( G[23,52](x_0 <= -292.6347) ) ) ) ∧ ( G[307,352]( ( (x_5 <= 86.4902) ∨ (x_9 <= 170.5034) ) ∧ (x_8 <= 219.8433) ) ) )",3,5,0.857143,6,1
37,forward,"( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( ( F[279,326](x_3 => 320.8336) ) ∨ ( F[356,384](x_1 => 542.6681) ) ) )",2,3,0.75,9,3
38,forward,"( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( ( F[279,326](x_3 => 320.8336) ) ∨ ( F[356,384](x_1 => 542.6681) ) ) )",2,3,0.75,9,3
39,forward,"( ( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( ( ( F[244,262](x_1 <= -256.7054) ) ∧ (x_0 => -286.8883) ) ∧ ( ( (x_1 => -345.6189) ∨ (x_4 => 335.0338) ) ∨ (x_1 <= 714.107) ) ) ) ∧ ( F[307,352]( ( (x_5 => 162.5952) ∧ (x_9 => 246.6084) ) ∨ (x_8 => 295.9483) ) ) )",3,5,0.909091,10,1
40,forward,"( ( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( F[146,184](x_6 <= -291.346) ) ) ∧ ( ( F[163,254]( (x_6 <= -341.9798) ∨ (x_0 <= -943.7857) ) ) ∨ ( G[23,52](x_0 <= -312.6111) ) ) )",3,4,0.818182,9,2
41,right,"( ( ( G[294,332](x_8 <= 199.2436) ) ∧ ( F[230,277](x_8 => 256.5498) ) ) ∧ ( G[3,12](x_8 => -92.769) ) )",3,3,0.846154,11,2
42,backward,"( ( ( ( F[280,371]( G[5,21](x_4 <= -21.3153) ) ) ∧ ( G[146,184](x_6 => -234.408) ) ) ∧ ( F[307,352]( ( (x_5 => 125.0725) ∧ (x_9 => 209.0857) ) ∨ (x_8 => 258.4256) ) ) ) ∧ ( G[124,127]( (x_6 => 163.1384) ∨ ( (x_2 <= -15.375) ∨ (x_8 <= -598.728) ) ) ) )",4,5,1.0,4,0
43,backward,"( ( ( ( F[280,371]( G[5,21](x_4 <= -21.3153) ) ) ∧ ( F[203,268](x_2 => 302.2879) ) ) ∧ ( F[173,inf]( (x_6 <= -477.0546) ∨ (x_0 => 467.49) ) ) ) ∧ ( F[251,307]( (x_6 <= -281.0871) ∧ (x_9 <= 257.8025) ) ) )",4,5,0.857143,6,1
44,left,"( ( ( G[307,352]( ( (x_5 <= 86.4902) ∨ (x_9 <= 170.5034) ) ∧ (x_8 <= 219.8433) ) ) ∧ ( G[369,inf]( (x_3 => -195.1516) ∨ (x_1 <= -484.3964) ) ) ) ∧ ( (x_7 <= 802.7344) ∧ ( G[309,359](x_3 <= 213.0877) ) ) )",3,5,1.0,8,0
45,left,"( ( ( F[271,289]( (x_3 => 245.2649) ∧ (x_4 <= 1153.7206) ) ) ∧ ( G[311,324](x_4 <= 154.8314) ) ) ∧ ( F[23,92]( (x_1 => 44.927) ∧ (x_5 <= -135.332) ) ) )",3,4,0.75,6,2
46,right,"( ( ( ( (x_3 <= -900.4987) ∨ ( F[273,306](x_6 => 323.6696) ) ) ∧ ( F[135,191](x_6 <= -313.6275) ) ) ∧ ( G[146,184](x_6 => -262.8246) ) ) ∧ ( G[27,155]( ( (x_8 => 311.0936) ∨ (x_9 <= 329.2808) ) ∨ (x_2 <= -183.6337) ) ) )",4,5,1.0,3,0
47,left,"( ( ( G[105,107]( (x_3 <= -3.3842) ∨ (x_7 => 190.5418) ) ) ∧ ( G[69,331](x_6 => -403.6438) ) ) ∧ ( (x_7 <= 802.7344) ∧ ( G[309,359](x_3 <= 213.0877) ) ) )",3,4,0.909091,10,1
48,right,"( ( ( G[294,332](x_8 <= 199.2436) ) ∧ ( (x_3 <= -900.4987) ∨ ( F[273,306](x_6 => 323.6696) ) ) ) ∧ ( ( G[279,326](x_3 <= 277.4985) ) ∧ ( G[356,384](x_1 <= 499.333) ) ) )",3,4,0.9,9,1
49,forward,"( ( ( ( ( F[244,262](x_1 <= -256.7054) ) ∧ (x_0 => -286.8883) ) ∧ ( ( (x_1 => -345.6189) ∨ (x_4 => 335.0338) ) ∨ (x_1 <= 714.107) ) ) ∧ ( F[307,352]( ( (x_5 => 162.5952) ∧ (x_9 => 246.6084) ) ∨ (x_8 => 295.9483) ) ) ) ∧ ( F[146,184](x_6 <= -291.346) ) )",3,5,0.888889,8,1
50,left,"( ( ( F[271,289]( (x_3 => 245.2649) ∧ (x_4 <= 1153.7206) ) ) ∧ ( F[213,238]( (x_3 => 422.1056) ∨ (x_9 => 242.2701) ) ) ) ∧ ( F[23,92]( (x_1 => 44.927) ∧ (x_5 <= -135.332) ) ) )",3,4,0.8,8,2
51,forward,"( ( F[339,366](x_9 => 190.2406) ) ∧ ( G[58,217](x_4 <= 351.919) ) )",2,2,0.772727,17,5
52,left,"( ( ( ( ( ( ( F[69,229](x_1 => 368.6503) ) ∧ ( ( G[140,inf](x_0 => 641.7157) ) ∨ ( F[1,24](x_9 => 237.5322) ) ) ) ∧ ( (x_7 <= 802.7344) ∧ ( G[309,359](x_3 <= 213.0877) ) ) ) ∧ ( G[48,49](x_4 => -44.5582) ) ) ∧ ( F[112,245](x_1 => 353.2771) ) ) ∧ ( F[23,92]( (x_1 => 44.927) ∧ (x_5 <= -135.332) ) ) ) ∧ ( F[27,155]( ( (x_8 <= 301.359) ∧ (x_9 => 339.0155) ) ∧ (x_2 => -173.899) ) ) )",7,8,0.333333,1,2
