sample_idx,target_class,formula,n_picks,depth,precision_train,n_tp,n_fp
0,normal,"( ( ( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( ( F(x_28 => 0.0559) ) ∧ ( F[19,68]( G(x_0 <= 0.5885) ) ) ) ) ∧ ( ( G[236,281](x_40 => -0.0615) ) ∧ (x_51 => 0.0429) ) ) ∧ ( F[309,348](x_57 => 2.1785) ) ) ∧ ( ( F(x_54 => 1.5928) ) ∧ ( (x_39 <= 1.4138) ∧ ( (x_37 <= 6.1926) ∨ (x_9 => 0.7715) ) ) ) ) ∧ ( (x_6 <= 0.2831) ∧ ( F[127,inf](x_51 => 0.5619) ) ) )",6,8,0.75,12,4
1,normal,"( ( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[20,56]( (x_1 <= 0.0005) ∧ (x_17 <= 0.8919) ) ) ) ∧ ( ( F(x_28 => 0.0559) ) ∧ ( F[19,68]( G(x_0 <= 0.5885) ) ) ) ) ∧ ( ( G(x_40 => -0.0206) ) ∧ ( F[314,inf]( (x_46 <= 6.1463) ∧ (x_49 => 0.182) ) ) ) )",5,7,0.8,8,2
2,abnormal,"( ( F(x_40 <= -0.0206) ) ∨ ( G[314,inf]( (x_46 => 6.1463) ∨ (x_49 <= 0.182) ) ) )",1,3,0.865979,84,13
3,normal,"( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[20,56]( (x_1 <= 0.0005) ∧ (x_17 <= 0.8919) ) ) ) ∧ ( F[309,348](x_57 => 2.1785) ) )",4,6,0.928571,13,1
4,normal,"( ( ( ( ( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[309,348](x_57 => 2.1785) ) ) ∧ ( ( G(x_40 => -0.0206) ) ∧ ( F[314,inf]( (x_46 <= 6.1463) ∧ (x_49 => 0.182) ) ) ) ) ∧ ( ( F(x_54 => 1.5928) ) ∧ ( (x_39 <= 1.4138) ∧ ( (x_37 <= 6.1926) ∨ (x_9 => 0.7715) ) ) ) ) ∧ ( (x_6 <= 0.2831) ∧ ( F[127,inf](x_51 => 0.5619) ) ) ) ∧ ( F( (x_46 => 0.2299) ∧ ( G[0,inf](x_31 => -0.1525) ) ) ) ) ∧ ( ( G[236,281](x_40 => -0.0615) ) ∧ (x_51 => 0.0429) ) )",8,10,0.642857,9,5
5,normal,"( ( ( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[309,348](x_57 => 2.1785) ) ) ∧ ( ( G(x_40 => -0.0206) ) ∧ ( F[314,inf]( (x_46 <= 6.1463) ∧ (x_49 => 0.182) ) ) ) ) ∧ ( ( F(x_28 => 0.0559) ) ∧ ( F[19,68]( G(x_0 <= 0.5885) ) ) ) ) ∧ ( ( G[236,281](x_40 => -0.0615) ) ∧ (x_51 => 0.0429) ) )",6,8,0.75,6,2
6,normal,"( ( ( ( ( ( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( G[5,136]( (x_37 <= 20.2865) ∧ (x_60 => 0.0034) ) ) ) ∧ ( ( G[236,281](x_40 => -0.0615) ) ∧ (x_51 => 0.0429) ) ) ∧ ( ( G(x_40 => -0.0206) ) ∧ ( F[314,inf]( (x_46 <= 6.1463) ∧ (x_49 => 0.182) ) ) ) ) ∧ ( F[309,348](x_57 => 2.1785) ) ) ∧ ( (x_6 <= 0.2831) ∧ ( F[127,inf](x_51 => 0.5619) ) ) ) ∧ ( F[383,397]( G[6,7](x_57 => 1.0194) ) ) ) ∧ ( ( F(x_54 => 1.5928) ) ∧ ( (x_39 <= 1.4138) ∧ ( (x_37 <= 6.1926) ∨ (x_9 => 0.7715) ) ) ) ) ∧ ( F[40,54]( (x_25 <= 13.8042) ∧ (x_58 => 1.6441) ) ) )",9,11,0.615385,8,5
7,normal,"( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[20,56]( (x_1 <= 0.0005) ∧ (x_17 <= 0.8919) ) ) ) ∧ ( F[309,348](x_57 => 2.1785) ) ) ∧ ( F( (x_46 => 0.2299) ∧ ( G[0,inf](x_31 => -0.1525) ) ) ) )",4,6,0.75,12,4
8,normal,"( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[20,56]( (x_1 <= 0.0005) ∧ (x_17 <= 0.8919) ) ) ) ∧ ( F[40,54]( (x_25 <= 13.8042) ∧ (x_58 => 1.6441) ) ) )",4,6,0.785714,11,3
9,normal,"( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[20,56]( (x_1 <= 0.0005) ∧ (x_17 <= 0.8919) ) ) ) ∧ ( G[5,136]( (x_37 <= 20.2865) ∧ (x_60 => 0.0034) ) ) )",4,6,0.769231,10,3
10,normal,"( ( ( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[309,348](x_57 => 2.1785) ) ) ∧ ( ( G(x_40 => -0.0206) ) ∧ ( F[314,inf]( (x_46 <= 6.1463) ∧ (x_49 => 0.182) ) ) ) ) ∧ ( ( F(x_28 => 0.0559) ) ∧ ( F[19,68]( G(x_0 <= 0.5885) ) ) ) ) ∧ ( ( G[236,281](x_40 => -0.0615) ) ∧ (x_51 => 0.0429) ) )",6,8,0.75,6,2
11,normal,"( ( ( ( F( (x_46 => 0.2299) ∧ ( G[0,inf](x_31 => -0.1525) ) ) ) ∧ ( F[20,56]( (x_1 <= 0.0005) ∧ (x_17 <= 0.8919) ) ) ) ∧ ( ( G[236,281](x_40 => -0.0615) ) ∧ (x_51 => 0.0429) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) )",4,6,0.818182,9,2
12,normal,"( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[383,397]( G[6,7](x_57 => 1.0194) ) ) ) ∧ ( ( F(x_28 => 0.0559) ) ∧ ( F[19,68]( G(x_0 <= 0.5885) ) ) ) )",4,6,0.833333,10,2
13,normal,"( ( ( ( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( ( F(x_28 => 0.0559) ) ∧ ( F[19,68]( G(x_0 <= 0.5885) ) ) ) ) ∧ ( ( G[236,281](x_40 => -0.0615) ) ∧ (x_51 => 0.0429) ) ) ∧ ( F[309,348](x_57 => 2.1785) ) ) ∧ ( (x_6 <= 0.2831) ∧ ( F[127,inf](x_51 => 0.5619) ) ) ) ∧ ( ( G(x_40 => -0.0206) ) ∧ ( F[314,inf]( (x_46 <= 6.1463) ∧ (x_49 => 0.182) ) ) ) ) ∧ ( F[40,54]( (x_25 <= 13.8042) ∧ (x_58 => 1.6441) ) ) )",7,9,0.666667,8,4
14,normal,"( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[20,56]( (x_1 <= 0.0005) ∧ (x_17 <= 0.8919) ) ) ) ∧ ( G[5,136]( (x_37 <= 20.2865) ∧ (x_60 => 0.0034) ) ) )",4,6,0.769231,10,3
15,abnormal,"( ( F(x_40 <= -0.0206) ) ∨ ( G[314,inf]( (x_46 => 6.1463) ∨ (x_49 <= 0.182) ) ) )",1,3,0.865979,84,13
16,normal,"( ( ( ( ( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[309,348](x_57 => 2.1785) ) ) ∧ ( ( G(x_40 => -0.0206) ) ∧ ( F[314,inf]( (x_46 <= 6.1463) ∧ (x_49 => 0.182) ) ) ) ) ∧ ( ( F(x_54 => 1.5928) ) ∧ ( (x_39 <= 1.4138) ∧ ( (x_37 <= 6.1926) ∨ (x_9 => 0.7715) ) ) ) ) ∧ ( (x_6 <= 0.2831) ∧ ( F[127,inf](x_51 => 0.5619) ) ) ) ∧ ( ( G[236,281](x_40 => -0.0615) ) ∧ (x_51 => 0.0429) ) ) ∧ ( F( (x_46 => 0.2299) ∧ ( G[0,inf](x_31 => -0.1525) ) ) ) )",8,10,0.642857,9,5
17,normal,"( ( ( ( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[309,348](x_57 => 2.1785) ) ) ∧ ( ( G(x_40 => -0.0206) ) ∧ ( F[314,inf]( (x_46 <= 6.1463) ∧ (x_49 => 0.182) ) ) ) ) ∧ ( ( F(x_54 => 1.5928) ) ∧ ( (x_39 <= 1.4138) ∧ ( (x_37 <= 6.1926) ∨ (x_9 => 0.7715) ) ) ) ) ∧ ( ( G[236,281](x_40 => -0.0615) ) ∧ (x_51 => 0.0429) ) ) ∧ ( F( (x_46 => 0.2299) ∧ ( G[0,inf](x_31 => -0.1525) ) ) ) )",7,9,0.642857,9,5
18,normal,"( ( ( ( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[383,397]( G[6,7](x_57 => 1.0194) ) ) ) ∧ ( F( (x_46 => 0.2299) ∧ ( G[0,inf](x_31 => -0.1525) ) ) ) ) ∧ ( (x_6 <= 0.2831) ∧ ( F[127,inf](x_51 => 0.5619) ) ) ) ∧ ( ( F(x_54 => 1.5928) ) ∧ ( (x_39 <= 1.4138) ∧ ( (x_37 <= 6.1926) ∨ (x_9 => 0.7715) ) ) ) ) ∧ ( ( G(x_40 => -0.0206) ) ∧ ( F[314,inf]( (x_46 <= 6.1463) ∧ (x_49 => 0.182) ) ) ) ) ∧ ( ( G[236,281](x_40 => -0.0615) ) ∧ (x_51 => 0.0429) ) )",7,9,0.608696,14,9
19,normal,"( ( ( ( (x_2 => -0.3239) ∧ ( ( F(x_53 => 1.0552) ) ∧ (x_45 <= 0.9265) ) ) ∧ ( F[389,inf](x_1 <= 0.0009) ) ) ∧ ( F[383,397]( G[6,7](x_57 => 1.0194) ) ) ) ∧ ( F[309,348](x_57 => 2.1785) ) )",4,6,0.833333,15,3
20,abnormal,"( ( F(x_40 <= -0.0206) ) ∨ ( G[314,inf]( (x_46 => 6.1463) ∨ (x_49 <= 0.182) ) ) )",1,3,0.865979,84,13
21,abnormal,"( ( F(x_40 <= -0.0206) ) ∨ ( G[314,inf]( (x_46 => 6.1463) ∨ (x_49 <= 0.182) ) ) )",1,3,0.865979,84,13
