sample_idx,target_class,formula,n_picks,depth,precision_train,n_tp,n_fp
0,badminton_clear,"( ( F[10,12]( (x_3 <= 21.0504) ∧ (x_5 => 3.3372) ) ) ∧ ( G[5,inf]( F[0,10](x_4 => 0.9695) ) ) )",2,3,0.875,14,2
1,squash_backhandboast,"( F[1,inf]( (x_5 <= -6.0668) ∧ (x_2 <= -19.9199) ) )",1,2,0.766667,23,7
2,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) )",2,3,0.944444,17,1
3,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) )",2,3,0.944444,17,1
4,squash_backhandboast,"( ( G( (x_5 <= 7.7365) ∧ (x_0 <= 22.3706) ) ) ∧ ( F[9,inf]( (x_4 <= -2.8285) ∧ (x_4 => -3.5017) ) ) )",2,3,0.96,24,1
5,badminton_clear,"( ( (x_5 <= -46.4079) ∨ ( F[4,9](x_0 <= -4.4205) ) ) ∧ ( ( G[17,18](x_2 => -1.5375) ) ∧ (x_5 => -20.7227) ) )",2,3,0.8,12,3
6,squash_backhandboast,"( ( F[1,3]( (x_1 => 8.8075) ∨ (x_5 => 3.8068) ) ) ∧ ( ( F[2,8](x_2 <= -21.1547) ) ∨ (x_0 <= -1.9715) ) )",2,3,1.0,14,0
7,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( (x_2 => -3.3368) ∧ ( F[4,7](x_1 => 3.0443) ) ) )",2,3,1.0,16,0
8,squash_backhandboast,"( ( F( G[7,9](x_3 => 1.7938) ) ) ∧ ( F( G[7,12](x_1 => 1.0478) ) ) )",2,3,0.958333,23,1
9,badminton_smash,"( ( F[14,19](x_5 => 3.8219) ) ∧ ( (x_3 <= -30.6291) ∨ ( F[13,16](x_0 <= -3.5305) ) ) )",2,3,0.857143,12,2
10,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) )",2,3,0.944444,17,1
11,badminton_smash,"( ( F[14,19](x_5 => 3.8219) ) ∧ ( G( (x_5 <= -6.9828) ∨ (x_5 => -2.902) ) ) )",2,3,0.9375,15,1
12,badminton_smash,"( ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) ∧ ( F[1,2](x_0 <= -0.3511) ) )",2,3,0.944444,17,1
13,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) )",2,3,0.944444,17,1
14,badminton_clear,"( ( ( G[5,inf]( F[0,10](x_4 => 0.9695) ) ) ∧ ( ( G[17,18](x_2 => -1.5375) ) ∧ (x_5 => -20.7227) ) ) ∧ ( (x_2 <= -4.5507) ∨ ( G[4,7](x_1 <= 1.8304) ) ) )",3,4,0.818182,9,2
15,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( F[15,22]( (x_0 <= -6.3474) ∨ (x_5 <= -6.4522) ) ) )",2,3,0.818182,18,4
16,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( ( F[8,16](x_2 => 12.5165) ) ∧ (x_2 => -11.6591) ) )",2,3,0.894737,17,2
17,badminton_smash,"( ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) ∧ ( F[1,2](x_0 <= -0.3511) ) )",2,3,0.944444,17,1
18,badminton_clear,"( ( ( (x_2 <= -4.5507) ∨ ( G[4,7](x_1 <= 1.8304) ) ) ∧ ( G[8,12]( (x_4 => -1.2308) ∨ (x_3 <= -3.2576) ) ) ) ∧ ( G( (x_5 <= -7.1788) ∨ (x_5 => -2.706) ) ) )",3,4,0.9,9,1
19,badminton_smash,"( ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) ∧ ( F[1,2](x_0 <= -0.3511) ) )",2,3,0.944444,17,1
20,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( F[1,2](x_0 <= -0.3511) ) )",2,3,0.85,17,3
21,badminton_clear,"( ( (x_5 <= -46.4079) ∨ ( F[4,9](x_0 <= -4.4205) ) ) ∧ ( G( (x_0 <= 9.3513) ∨ (x_4 <= 5.6375) ) ) )",2,3,0.863636,19,3
22,badminton_smash,"( ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) ∧ ( F[16,inf]( (x_4 <= -13.1307) ∨ (x_5 => 2.2872) ) ) )",2,3,0.933333,14,1
23,badminton_smash,"( ( F[14,19](x_5 => 3.8219) ) ∧ ( F[1,2](x_0 <= -0.3511) ) )",2,2,0.823529,14,3
24,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( F[1,2](x_0 <= -0.3511) ) )",2,3,0.85,17,3
25,badminton_smash,"( ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) ∧ ( F[1,2](x_0 <= -0.3511) ) )",2,3,0.944444,17,1
26,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) )",2,3,0.944444,17,1
27,squash_forehandboast,"( ( F[4,6](x_3 => 5.1456) ) ∧ (x_1 => -14.3413) )",1,2,0.88,22,3
28,badminton_smash,"( ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) ∧ ( F[1,2](x_0 <= -0.3511) ) )",2,3,0.944444,17,1
29,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) )",2,3,0.944444,17,1
30,badminton_clear,"( ( F[10,12]( (x_3 <= 21.0504) ∧ (x_5 => 3.3372) ) ) ∧ ( F( (x_5 => 11.6699) ∨ (x_0 => 26.304) ) ) )",2,3,0.769231,20,6
31,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) )",2,3,0.944444,17,1
32,badminton_clear,"( ( F[10,12]( (x_3 <= 21.0504) ∧ (x_5 => 3.3372) ) ) ∧ ( G[8,12]( (x_4 => -1.2308) ∨ (x_3 <= -3.2576) ) ) )",2,3,0.833333,10,2
33,badminton_clear,"( ( (x_5 <= -46.4079) ∨ ( F[4,9](x_0 <= -4.4205) ) ) ∧ ( G( (x_0 <= 8.0598) ∨ (x_4 <= 1.9153) ) ) )",2,3,0.916667,11,1
34,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) )",2,3,0.944444,17,1
35,badminton_smash,"( ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) ∧ ( F[1,2](x_0 <= -0.3511) ) )",2,3,0.944444,17,1
36,badminton_smash,"( ( ( F(x_5 => 11.7921) ) ∨ ( F(x_4 <= -18.865) ) ) ∧ ( F[1,2](x_0 <= -0.3511) ) )",2,3,0.944444,17,1
37,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( F[1,2](x_0 <= -0.3511) ) )",2,3,0.85,17,3
38,badminton_clear,"( ( ( G[5,inf]( F[0,10](x_4 => 0.9695) ) ) ∧ ( G( F[3,7](x_2 => -1.7235) ) ) ) ∧ ( (x_2 <= -4.5507) ∨ ( G[4,7](x_1 <= 1.8304) ) ) )",3,4,1.0,9,0
39,badminton_smash,"( ( F[0,inf]( (x_4 => 10.3512) ∧ (x_5 => 1.0866) ) ) ∧ ( (x_2 => -3.3368) ∧ ( F[4,7](x_1 => 3.0443) ) ) )",2,3,1.0,16,0
40,badminton_clear,"( ( (x_5 <= -46.4079) ∨ ( F[4,9](x_0 <= -4.4205) ) ) ∧ ( G( F[7,12](x_1 <= -0.9314) ) ) )",2,3,0.833333,10,2
