dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,rocket_ridge,100,,,,0,0.9249999999999999,0.1508,0.4001,0.5509,ok
BasicMotions,rocket_linear,100,,,,0,0.675,0.3597,0.4001,0.7598,ok
BasicMotions,rocket_ridge,100,,,,1,0.975,0.1284,0.0081,0.1365,ok
BasicMotions,rocket_linear,100,,,,1,0.8500000000000001,0.4005,0.0081,0.4086,ok
BasicMotions,rocket_ridge,100,,,,2,0.95,0.1272,0.0084,0.1356,ok
BasicMotions,rocket_linear,100,,,,2,0.95,0.353,0.0084,0.3614,ok
BasicMotions,rocket_ridge,100,,,,3,0.875,0.1253,0.0073,0.1326,ok
BasicMotions,rocket_linear,100,,,,3,0.85,0.3657,0.0073,0.373,ok
BasicMotions,rocket_ridge,100,,,,4,0.95,0.123,0.0077,0.1307,ok
BasicMotions,rocket_linear,100,,,,4,0.8,0.3412,0.0077,0.3489,ok
BasicMotions,rocket_ridge,100,,,,5,0.9,0.1189,0.0078,0.1267,ok
BasicMotions,rocket_linear,100,,,,5,0.925,0.3583,0.0078,0.3661,ok
BasicMotions,rocket_ridge,100,,,,6,0.9,0.1226,0.0078,0.1304,ok
BasicMotions,rocket_linear,100,,,,6,0.675,0.3687,0.0078,0.3765,ok
BasicMotions,rocket_ridge,100,,,,7,0.975,0.1172,0.0071,0.1243,ok
BasicMotions,rocket_linear,100,,,,7,0.9,0.3373,0.0071,0.3444,ok
BasicMotions,rocket_ridge,100,,,,8,0.8999999999999999,0.117,0.0082,0.1252,ok
BasicMotions,rocket_linear,100,,,,8,0.7999999999999999,0.3685,0.0082,0.3767,ok
BasicMotions,rocket_ridge,100,,,,9,0.8999999999999999,0.1311,0.0071,0.1382,ok
BasicMotions,rocket_linear,100,,,,9,0.8250000000000001,0.3314,0.0071,0.3385,ok
