dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,rocket_ridge,10,,,,0,0.85,0.2377,0.1602,0.3979,ok
BasicMotions,rocket_linear,10,,,,0,0.6749999999999999,0.4267,0.1602,0.5869,ok
BasicMotions,rocket_ridge,10,,,,1,0.85,0.1201,0.0617,0.1818,ok
BasicMotions,rocket_linear,10,,,,1,0.675,0.404,0.0617,0.4657,ok
BasicMotions,rocket_ridge,10,,,,2,0.75,0.105,0.0034,0.1084,ok
BasicMotions,rocket_linear,10,,,,2,0.5,0.4374,0.0034,0.4408,ok
BasicMotions,rocket_ridge,10,,,,3,0.875,0.1061,0.0037,0.1098,ok
BasicMotions,rocket_linear,10,,,,3,0.75,0.3655,0.0037,0.3692,ok
BasicMotions,rocket_ridge,10,,,,4,0.9,0.1139,0.0035,0.1174,ok
BasicMotions,rocket_linear,10,,,,4,0.825,0.4007,0.0035,0.4042,ok
BasicMotions,rocket_ridge,10,,,,5,0.8,0.1081,0.0032,0.1113,ok
BasicMotions,rocket_linear,10,,,,5,0.7750000000000001,0.4056,0.0032,0.4088,ok
BasicMotions,rocket_ridge,10,,,,6,0.7,0.1179,0.0037,0.1216,ok
BasicMotions,rocket_linear,10,,,,6,0.6,0.4203,0.0037,0.424,ok
BasicMotions,rocket_ridge,10,,,,7,0.7999999999999999,0.1082,0.0032,0.1114,ok
BasicMotions,rocket_linear,10,,,,7,0.7,0.4479,0.0032,0.4511,ok
BasicMotions,rocket_ridge,10,,,,8,0.95,0.1164,0.0036,0.12,ok
BasicMotions,rocket_linear,10,,,,8,0.625,0.3863,0.0036,0.3899,ok
BasicMotions,rocket_ridge,10,,,,9,0.7749999999999999,0.1051,0.0033,0.1084,ok
BasicMotions,rocket_linear,10,,,,9,0.47500000000000003,0.4167,0.0033,0.42,ok
