dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
BasicMotions,rocket_ridge,10000,,,,0,0.975,0.7946,0.4774,1.272,ok
BasicMotions,rocket_linear,10000,,,,0,0.95,1.6416,0.4774,2.119,ok
BasicMotions,rocket_ridge,10000,,,,1,0.975,0.558,0.5232,1.0812,ok
BasicMotions,rocket_linear,10000,,,,1,0.875,1.9206,0.5232,2.4438,ok
BasicMotions,rocket_ridge,10000,,,,2,0.975,0.5527,0.4927,1.0454,ok
BasicMotions,rocket_linear,10000,,,,2,0.9,1.4992,0.4927,1.9919,ok
BasicMotions,rocket_ridge,10000,,,,3,0.975,0.5639,0.5166,1.0805,ok
BasicMotions,rocket_linear,10000,,,,3,0.925,2.0715,0.5166,2.5881,ok
BasicMotions,rocket_ridge,10000,,,,4,0.975,0.5701,0.5136,1.0837,ok
BasicMotions,rocket_linear,10000,,,,4,0.925,1.8429,0.5136,2.3565,ok
BasicMotions,rocket_ridge,10000,,,,5,0.975,0.5556,0.4883,1.0439,ok
BasicMotions,rocket_linear,10000,,,,5,0.925,1.9154,0.4883,2.4037,ok
BasicMotions,rocket_ridge,10000,,,,6,0.975,0.5709,0.5177,1.0886,ok
BasicMotions,rocket_linear,10000,,,,6,0.8999999999999999,1.9261,0.5177,2.4438,ok
BasicMotions,rocket_ridge,10000,,,,7,0.975,0.5745,0.5138,1.0883,ok
BasicMotions,rocket_linear,10000,,,,7,0.925,1.6196,0.5138,2.1334,ok
BasicMotions,rocket_ridge,10000,,,,8,0.975,0.5838,0.4737,1.0575,ok
BasicMotions,rocket_linear,10000,,,,8,0.875,1.8839,0.4737,2.3576,ok
BasicMotions,rocket_ridge,10000,,,,9,0.975,0.5569,0.4997,1.0566,ok
BasicMotions,rocket_linear,10000,,,,9,0.85,1.5551,0.4997,2.0548,ok
