dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,rocket_ridge,1000,,,,0,0.9861111111111112,1.396,1.1733,2.5693,ok
Cricket,rocket_linear,1000,,,,0,0.9722222222222222,2.7001,1.1733,3.8734,ok
Cricket,rocket_ridge,1000,,,,1,1.0,1.8298,1.2005,3.0303,ok
Cricket,rocket_linear,1000,,,,1,0.9722222222222223,2.5033,1.2005,3.7038,ok
Cricket,rocket_ridge,1000,,,,2,1.0,1.0141,1.3487,2.3628,ok
Cricket,rocket_linear,1000,,,,2,0.9166666666666666,2.3592,1.3487,3.7079,ok
Cricket,rocket_ridge,1000,,,,3,0.9861111111111112,3.1039,1.3049,4.4088,ok
Cricket,rocket_linear,1000,,,,3,0.9583333333333334,2.8495,1.3049,4.1544,ok
Cricket,rocket_ridge,1000,,,,4,0.9861111111111112,1.8159,1.2662,3.0821,ok
Cricket,rocket_linear,1000,,,,4,0.9583333333333335,2.8144,1.2662,4.0806,ok
Cricket,rocket_ridge,1000,,,,5,0.9722222222222223,1.6107,1.3106,2.9213,ok
Cricket,rocket_linear,1000,,,,5,0.9305555555555557,2.6111,1.3106,3.9217,ok
Cricket,rocket_ridge,1000,,,,6,1.0,1.8109,1.2587,3.0696,ok
Cricket,rocket_linear,1000,,,,6,0.9722222222222223,2.6896,1.2587,3.9483,ok
Cricket,rocket_ridge,1000,,,,7,0.9722222222222223,1.8016,1.1996,3.0012,ok
Cricket,rocket_linear,1000,,,,7,0.9444444444444445,3.0119,1.1996,4.2115,ok
Cricket,rocket_ridge,1000,,,,8,0.9861111111111112,2.0099,1.2896,3.2995,ok
Cricket,rocket_linear,1000,,,,8,0.9722222222222223,2.6998,1.2896,3.9894,ok
Cricket,rocket_ridge,1000,,,,9,0.9861111111111112,1.7664,1.2467,3.0131,ok
Cricket,rocket_linear,1000,,,,9,0.9583333333333334,2.6152,1.2467,3.8619,ok
