dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Cricket,rocket_ridge,10000,,,,0,1.0,3.3204,15.4549,18.7753,ok
Cricket,rocket_linear,10000,,,,0,0.9166666666666669,10.912,15.4549,26.3669,ok
Cricket,rocket_ridge,10000,,,,1,0.9861111111111112,2.9114,11.7029,14.6143,ok
Cricket,rocket_linear,10000,,,,1,1.0,9.0793,11.7029,20.7822,ok
Cricket,rocket_ridge,10000,,,,2,0.9861111111111112,1.8694,10.4099,12.2793,ok
Cricket,rocket_linear,10000,,,,2,1.0,9.1119,10.4099,19.5218,ok
Cricket,rocket_ridge,10000,,,,3,0.9861111111111112,2.6875,9.8354,12.5229,ok
Cricket,rocket_linear,10000,,,,3,0.9583333333333334,9.6538,9.8354,19.4892,ok
Cricket,rocket_ridge,10000,,,,4,0.9861111111111112,2.9205,9.7206,12.6411,ok
Cricket,rocket_linear,10000,,,,4,0.9583333333333334,8.9462,9.7206,18.6668,ok
Cricket,rocket_ridge,10000,,,,5,0.9861111111111112,3.7123,9.6791,13.3914,ok
Cricket,rocket_linear,10000,,,,5,0.9583333333333334,9.0348,9.6791,18.7139,ok
Cricket,rocket_ridge,10000,,,,6,0.9861111111111112,4.0231,9.281,13.3041,ok
Cricket,rocket_linear,10000,,,,6,0.9583333333333334,9.1679,9.281,18.4489,ok
Cricket,rocket_ridge,10000,,,,7,1.0,4.7648,9.5034,14.2682,ok
Cricket,rocket_linear,10000,,,,7,0.9722222222222222,8.5431,9.5034,18.0465,ok
Cricket,rocket_ridge,10000,,,,8,1.0,2.4515,9.7807,12.2322,ok
Cricket,rocket_linear,10000,,,,8,0.9444444444444445,9.7135,9.7807,19.4942,ok
Cricket,rocket_ridge,10000,,,,9,1.0,2.7785,9.839,12.6175,ok
Cricket,rocket_linear,10000,,,,9,0.9722222222222222,9.2562,9.839,19.0952,ok
