dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,rocket_ridge,1000,,,,0,0.5199999999999999,0.1979,0.5239,0.7218,ok
DuckDuckGeese,rocket_linear,1000,,,,0,0.38,1.0396,0.5239,1.5635,ok
DuckDuckGeese,rocket_ridge,1000,,,,1,0.4,0.1933,0.5165,0.7098,ok
DuckDuckGeese,rocket_linear,1000,,,,1,0.27999999999999997,1.0275,0.5165,1.544,ok
DuckDuckGeese,rocket_ridge,1000,,,,2,0.42000000000000004,0.1947,0.5881,0.7828,ok
DuckDuckGeese,rocket_linear,1000,,,,2,0.22000000000000003,0.8517,0.5881,1.4398,ok
DuckDuckGeese,rocket_ridge,1000,,,,3,0.36,0.1951,0.4955,0.6906,ok
DuckDuckGeese,rocket_linear,1000,,,,3,0.2,1.016,0.4955,1.5115,ok
DuckDuckGeese,rocket_ridge,1000,,,,4,0.48,0.1999,0.6314,0.8313,ok
DuckDuckGeese,rocket_linear,1000,,,,4,0.26,1.0442,0.6314,1.6756,ok
DuckDuckGeese,rocket_ridge,1000,,,,5,0.34,0.1916,0.4942,0.6858,ok
DuckDuckGeese,rocket_linear,1000,,,,5,0.2,0.8127,0.4942,1.3069,ok
DuckDuckGeese,rocket_ridge,1000,,,,6,0.4,0.1911,0.5567,0.7478,ok
DuckDuckGeese,rocket_linear,1000,,,,6,0.22000000000000003,0.8837,0.5567,1.4404,ok
DuckDuckGeese,rocket_ridge,1000,,,,7,0.44000000000000006,0.1895,0.4811,0.6706,ok
DuckDuckGeese,rocket_linear,1000,,,,7,0.24,0.9228,0.4811,1.4039,ok
DuckDuckGeese,rocket_ridge,1000,,,,8,0.42000000000000004,0.186,0.4781,0.6641,ok
DuckDuckGeese,rocket_linear,1000,,,,8,0.27999999999999997,0.9708,0.4781,1.4489,ok
DuckDuckGeese,rocket_ridge,1000,,,,9,0.38,0.1784,0.4741,0.6525,ok
DuckDuckGeese,rocket_linear,1000,,,,9,0.2,0.6977,0.4741,1.1718,ok
