dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,rocket_ridge,10,,,,0,0.3,0.1096,0.3265,0.4361,ok
DuckDuckGeese,rocket_linear,10,,,,0,0.18,0.5665,0.3265,0.893,ok
DuckDuckGeese,rocket_ridge,10,,,,1,0.24000000000000005,0.1157,0.2981,0.4138,ok
DuckDuckGeese,rocket_linear,10,,,,1,0.15999999999999998,0.5395,0.2981,0.8376,ok
DuckDuckGeese,rocket_ridge,10,,,,2,0.32,0.1223,0.2689,0.3912,ok
DuckDuckGeese,rocket_linear,10,,,,2,0.2,0.5449,0.2689,0.8138,ok
DuckDuckGeese,rocket_ridge,10,,,,3,0.31999999999999995,0.1213,0.2722,0.3935,ok
DuckDuckGeese,rocket_linear,10,,,,3,0.36,0.5276,0.2722,0.7998,ok
DuckDuckGeese,rocket_ridge,10,,,,4,0.22000000000000003,0.1062,0.2652,0.3714,ok
DuckDuckGeese,rocket_linear,10,,,,4,0.2,0.5545,0.2652,0.8197,ok
DuckDuckGeese,rocket_ridge,10,,,,5,0.22000000000000003,0.1138,0.2658,0.3796,ok
DuckDuckGeese,rocket_linear,10,,,,5,0.2,0.5478,0.2658,0.8136,ok
DuckDuckGeese,rocket_ridge,10,,,,6,0.2,0.1088,0.2623,0.3711,ok
DuckDuckGeese,rocket_linear,10,,,,6,0.2,0.4965,0.2623,0.7588,ok
DuckDuckGeese,rocket_ridge,10,,,,7,0.24000000000000005,0.1074,0.2719,0.3793,ok
DuckDuckGeese,rocket_linear,10,,,,7,0.15999999999999998,0.6005,0.2719,0.8724,ok
DuckDuckGeese,rocket_ridge,10,,,,8,0.31999999999999995,0.1156,0.2654,0.381,ok
DuckDuckGeese,rocket_linear,10,,,,8,0.32,0.5026,0.2654,0.768,ok
DuckDuckGeese,rocket_ridge,10,,,,9,0.36,0.1126,0.2624,0.375,ok
DuckDuckGeese,rocket_linear,10,,,,9,0.2,0.5603,0.2624,0.8227,ok
