dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
DuckDuckGeese,rocket_ridge,10000,,,,0,0.48,0.6902,2.6011,3.2913,ok
DuckDuckGeese,rocket_linear,10000,,,,0,0.18,3.0921,2.6011,5.6932,ok
DuckDuckGeese,rocket_ridge,10000,,,,1,0.5599999999999999,0.6837,3.2379,3.9216,ok
DuckDuckGeese,rocket_linear,10000,,,,1,0.2,3.3275,3.2379,6.5654,ok
DuckDuckGeese,rocket_ridge,10000,,,,2,0.48,0.6413,2.6606,3.3019,ok
DuckDuckGeese,rocket_linear,10000,,,,2,0.26,3.0517,2.6606,5.7123,ok
DuckDuckGeese,rocket_ridge,10000,,,,3,0.5,0.6756,2.8111,3.4867,ok
DuckDuckGeese,rocket_linear,10000,,,,3,0.25999999999999995,3.337,2.8111,6.1481,ok
DuckDuckGeese,rocket_ridge,10000,,,,4,0.4600000000000001,0.6854,2.5598,3.2452,ok
DuckDuckGeese,rocket_linear,10000,,,,4,0.3,3.315,2.5598,5.8748,ok
DuckDuckGeese,rocket_ridge,10000,,,,5,0.58,0.6823,2.8889,3.5712,ok
DuckDuckGeese,rocket_linear,10000,,,,5,0.33999999999999997,3.0467,2.8889,5.9356,ok
DuckDuckGeese,rocket_ridge,10000,,,,6,0.48,0.6838,2.5559,3.2397,ok
DuckDuckGeese,rocket_linear,10000,,,,6,0.2,3.0791,2.5559,5.635,ok
DuckDuckGeese,rocket_ridge,10000,,,,7,0.4600000000000001,0.6342,2.4795,3.1137,ok
DuckDuckGeese,rocket_linear,10000,,,,7,0.2,3.3348,2.4795,5.8143,ok
DuckDuckGeese,rocket_ridge,10000,,,,8,0.48,0.6457,2.3314,2.9771,ok
DuckDuckGeese,rocket_linear,10000,,,,8,0.24,2.8221,2.3314,5.1535,ok
DuckDuckGeese,rocket_ridge,10000,,,,9,0.48,0.6046,2.268,2.8726,ok
DuckDuckGeese,rocket_linear,10000,,,,9,0.25999999999999995,2.7924,2.268,5.0604,ok
