dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,rocket_ridge,100,,,,0,0.9111111111111111,0.1473,0.486,0.6333,ok
ERing,rocket_linear,100,,,,0,0.7518518518518519,0.3563,0.486,0.8423,ok
ERing,rocket_ridge,100,,,,1,0.8518518518518517,0.1312,0.0145,0.1457,ok
ERing,rocket_linear,100,,,,1,0.7074074074074074,0.3694,0.0145,0.3839,ok
ERing,rocket_ridge,100,,,,2,0.9222222222222222,0.1321,0.0999,0.232,ok
ERing,rocket_linear,100,,,,2,0.837037037037037,0.3378,0.0999,0.4377,ok
ERing,rocket_ridge,100,,,,3,0.9148148148148149,0.1303,0.0688,0.1991,ok
ERing,rocket_linear,100,,,,3,0.8074074074074075,0.3376,0.0688,0.4064,ok
ERing,rocket_ridge,100,,,,4,0.9037037037037038,0.1387,0.1032,0.2419,ok
ERing,rocket_linear,100,,,,4,0.7851851851851851,0.3181,0.1032,0.4213,ok
ERing,rocket_ridge,100,,,,5,0.9111111111111111,0.1238,0.1103,0.2341,ok
ERing,rocket_linear,100,,,,5,0.6592592592592592,0.3464,0.1103,0.4567,ok
ERing,rocket_ridge,100,,,,6,0.9185185185185185,0.1295,0.1007,0.2302,ok
ERing,rocket_linear,100,,,,6,0.8962962962962963,0.3554,0.1007,0.4561,ok
ERing,rocket_ridge,100,,,,7,0.9111111111111111,0.1219,0.0986,0.2205,ok
ERing,rocket_linear,100,,,,7,0.6703703703703704,0.376,0.0986,0.4746,ok
ERing,rocket_ridge,100,,,,8,0.8629629629629628,0.1236,0.0945,0.2181,ok
ERing,rocket_linear,100,,,,8,0.7666666666666666,0.3599,0.0945,0.4544,ok
ERing,rocket_ridge,100,,,,9,0.8888888888888888,0.1138,0.1297,0.2435,ok
ERing,rocket_linear,100,,,,9,0.762962962962963,0.3429,0.1297,0.4726,ok
