dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
ERing,rocket_ridge,1000,,,,0,0.9666666666666667,0.2561,0.1813,0.4374,ok
ERing,rocket_linear,1000,,,,0,0.825925925925926,0.5024,0.1813,0.6837,ok
ERing,rocket_ridge,1000,,,,1,0.9555555555555556,0.1739,0.2785,0.4524,ok
ERing,rocket_linear,1000,,,,1,0.8481481481481482,0.5138,0.2785,0.7923,ok
ERing,rocket_ridge,1000,,,,2,0.9444444444444445,0.1757,0.1927,0.3684,ok
ERing,rocket_linear,1000,,,,2,0.7888888888888888,0.4881,0.1927,0.6808,ok
ERing,rocket_ridge,1000,,,,3,0.9518518518518518,0.1713,0.2025,0.3738,ok
ERing,rocket_linear,1000,,,,3,0.8777777777777778,0.5133,0.2025,0.7158,ok
ERing,rocket_ridge,1000,,,,4,0.9555555555555556,0.1743,0.2625,0.4368,ok
ERing,rocket_linear,1000,,,,4,0.8703703703703703,0.5223,0.2625,0.7848,ok
ERing,rocket_ridge,1000,,,,5,0.9481481481481482,0.1792,0.2226,0.4018,ok
ERing,rocket_linear,1000,,,,5,0.8407407407407407,0.4619,0.2226,0.6845,ok
ERing,rocket_ridge,1000,,,,6,0.9592592592592593,0.1701,0.1973,0.3674,ok
ERing,rocket_linear,1000,,,,6,0.8222222222222223,0.4968,0.1973,0.6941,ok
ERing,rocket_ridge,1000,,,,7,0.9518518518518518,0.2137,0.1918,0.4055,ok
ERing,rocket_linear,1000,,,,7,0.8444444444444444,0.5123,0.1918,0.7041,ok
ERing,rocket_ridge,1000,,,,8,0.9518518518518518,0.1648,0.2066,0.3714,ok
ERing,rocket_linear,1000,,,,8,0.8814814814814816,0.473,0.2066,0.6796,ok
ERing,rocket_ridge,1000,,,,9,0.9629629629629629,0.1752,0.1992,0.3744,ok
ERing,rocket_linear,1000,,,,9,0.8555555555555555,0.5564,0.1992,0.7556,ok
