dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,rocket_ridge,100,,,,0,0.8974827768945416,0.325,0.1126,0.4376,ok
Epilepsy,rocket_linear,100,,,,0,0.8806041335453101,0.8087,0.1126,0.9213,ok
Epilepsy,rocket_ridge,100,,,,1,0.8502517223105459,0.1485,0.1289,0.2774,ok
Epilepsy,rocket_linear,100,,,,1,0.7910439851616322,0.7864,0.1289,0.9153,ok
Epilepsy,rocket_ridge,100,,,,2,0.8947138314785374,0.1334,0.12,0.2534,ok
Epilepsy,rocket_linear,100,,,,2,0.8571807101218867,0.8267,0.12,0.9467,ok
Epilepsy,rocket_ridge,100,,,,3,0.941984631690514,0.1545,0.1296,0.2841,ok
Epilepsy,rocket_linear,100,,,,3,0.8893614202437732,0.7249,0.1296,0.8545,ok
Epilepsy,rocket_ridge,100,,,,4,0.9084393216746158,0.1552,0.128,0.2832,ok
Epilepsy,rocket_linear,100,,,,4,0.8859962904080552,0.7821,0.128,0.9101,ok
Epilepsy,rocket_ridge,100,,,,5,0.901682564917859,0.1437,0.1178,0.2615,ok
Epilepsy,rocket_linear,100,,,,5,0.8240593534711181,0.8347,0.1178,0.9525,ok
Epilepsy,rocket_ridge,100,,,,6,0.9549019607843138,0.1586,0.1012,0.2598,ok
Epilepsy,rocket_linear,100,,,,6,0.9251059883412824,0.6533,0.1012,0.7545,ok
Epilepsy,rocket_ridge,100,,,,7,0.8854001059883414,0.153,0.1162,0.2692,ok
Epilepsy,rocket_linear,100,,,,7,0.809525702172761,0.6948,0.1162,0.811,ok
Epilepsy,rocket_ridge,100,,,,8,0.9038553259141495,0.156,0.117,0.273,ok
Epilepsy,rocket_linear,100,,,,8,0.93620826709062,0.6839,0.117,0.8009,ok
Epilepsy,rocket_ridge,100,,,,9,0.908055113937467,0.1716,0.0617,0.2333,ok
Epilepsy,rocket_linear,100,,,,9,0.8454557498675146,0.8431,0.0617,0.9048,ok
