dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,rocket_ridge,10,,,,0,0.7246025437201907,0.2395,0.1584,0.3979,ok
Epilepsy,rocket_linear,10,,,,0,0.6308691043985162,0.918,0.1584,1.0764,ok
Epilepsy,rocket_ridge,10,,,,1,0.7686406995230526,0.1226,0.0586,0.1812,ok
Epilepsy,rocket_linear,10,,,,1,0.7332803391626921,0.9415,0.0586,1.0001,ok
Epilepsy,rocket_ridge,10,,,,2,0.7985426603073663,0.1321,0.0449,0.177,ok
Epilepsy,rocket_linear,10,,,,2,0.7774642289348173,0.9665,0.0449,1.0114,ok
Epilepsy,rocket_ridge,10,,,,3,0.7235426603073662,0.1386,0.0787,0.2173,ok
Epilepsy,rocket_linear,10,,,,3,0.6734764175940646,0.8767,0.0787,0.9554,ok
Epilepsy,rocket_ridge,10,,,,4,0.7192103868574456,0.126,0.0076,0.1336,ok
Epilepsy,rocket_linear,10,,,,4,0.6874536301006889,1.0916,0.0076,1.0992,ok
Epilepsy,rocket_ridge,10,,,,5,0.6748410174880763,0.1262,0.0052,0.1314,ok
Epilepsy,rocket_linear,10,,,,5,0.624006359300477,0.9389,0.0052,0.9441,ok
Epilepsy,rocket_ridge,10,,,,6,0.6436539480657127,0.1169,0.0062,0.1231,ok
Epilepsy,rocket_linear,10,,,,6,0.5000662427133016,1.05,0.0062,1.0562,ok
Epilepsy,rocket_ridge,10,,,,7,0.7396926338102809,0.1324,0.0882,0.2206,ok
Epilepsy,rocket_linear,10,,,,7,0.7399046104928458,1.1755,0.0882,1.2637,ok
Epilepsy,rocket_ridge,10,,,,8,0.5522655007949127,0.1212,0.0938,0.215,ok
Epilepsy,rocket_linear,10,,,,8,0.5344064652888183,0.6974,0.0938,0.7912,ok
Epilepsy,rocket_ridge,10,,,,9,0.7404213036565978,0.1298,0.0257,0.1555,ok
Epilepsy,rocket_linear,10,,,,9,0.5728139904610493,1.0781,0.0257,1.1038,ok
