dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,rocket_ridge,1000,,,,0,0.9858903020667726,0.3019,0.2874,0.5893,ok
Epilepsy,rocket_linear,1000,,,,0,0.9189454160042395,0.9859,0.2874,1.2733,ok
Epilepsy,rocket_ridge,1000,,,,1,0.9564785373608904,0.2611,0.2833,0.5444,ok
Epilepsy,rocket_linear,1000,,,,1,0.9560943296237414,1.1121,0.2833,1.3954,ok
Epilepsy,rocket_ridge,1000,,,,2,0.963831478537361,0.2411,0.3501,0.5912,ok
Epilepsy,rocket_linear,1000,,,,2,0.9475490196078431,0.9862,0.3501,1.3363,ok
Epilepsy,rocket_ridge,1000,,,,3,0.9471648118706941,0.2687,0.3453,0.614,ok
Epilepsy,rocket_linear,1000,,,,3,0.8718865924748278,1.0535,0.3453,1.3988,ok
Epilepsy,rocket_ridge,1000,,,,4,0.9775569687334393,0.2701,0.3219,0.592,ok
Epilepsy,rocket_linear,1000,,,,4,0.9497217806041336,1.3531,0.3219,1.675,ok
Epilepsy,rocket_ridge,1000,,,,5,0.9711844197138315,0.244,0.3194,0.5634,ok
Epilepsy,rocket_linear,1000,,,,5,0.9276629570747218,1.1334,0.3194,1.4528,ok
Epilepsy,rocket_ridge,1000,,,,6,0.9858903020667726,0.2775,0.3243,0.6018,ok
Epilepsy,rocket_linear,1000,,,,6,0.8772125066242714,1.2786,0.3243,1.6029,ok
Epilepsy,rocket_ridge,1000,,,,7,0.9785373608903021,0.2727,0.3293,0.602,ok
Epilepsy,rocket_linear,1000,,,,7,0.9775569687334393,1.4123,0.3293,1.7416,ok
Epilepsy,rocket_ridge,1000,,,,8,0.963831478537361,0.2754,0.3351,0.6105,ok
Epilepsy,rocket_linear,1000,,,,8,0.9115924748277688,1.0906,0.3351,1.4257,ok
Epilepsy,rocket_ridge,1000,,,,9,0.9785373608903021,0.2554,0.2909,0.5463,ok
Epilepsy,rocket_linear,1000,,,,9,0.9199258081611024,1.3073,0.2909,1.5982,ok
