dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Epilepsy,rocket_ridge,10000,,,,0,0.9711844197138315,2.2477,2.1678,4.4155,ok
Epilepsy,rocket_linear,10000,,,,0,0.948145204027557,4.2839,2.1678,6.4517,ok
Epilepsy,rocket_ridge,10000,,,,1,0.963831478537361,2.2827,2.1328,4.4155,ok
Epilepsy,rocket_linear,10000,,,,1,0.9121886592474827,3.8256,2.1328,5.9584,ok
Epilepsy,rocket_ridge,10000,,,,2,0.9785373608903021,1.6646,2.0373,3.7019,ok
Epilepsy,rocket_linear,10000,,,,2,0.9173688394276629,3.8584,2.0373,5.8957,ok
Epilepsy,rocket_ridge,10000,,,,3,0.9785373608903021,2.225,2.0184,4.2434,ok
Epilepsy,rocket_linear,10000,,,,3,0.8636989931107579,3.6837,2.0184,5.7021,ok
Epilepsy,rocket_ridge,10000,,,,4,0.963831478537361,1.6932,2.0283,3.7215,ok
Epilepsy,rocket_linear,10000,,,,4,0.9100158982511923,3.9118,2.0283,5.9401,ok
Epilepsy,rocket_ridge,10000,,,,5,0.9711844197138315,1.6802,2.035,3.7152,ok
Epilepsy,rocket_linear,10000,,,,5,0.8959062003179651,4.1357,2.035,6.1707,ok
Epilepsy,rocket_ridge,10000,,,,6,0.9785373608903021,2.21,1.9605,4.1705,ok
Epilepsy,rocket_linear,10000,,,,6,0.9032591414944355,3.8597,1.9605,5.8202,ok
Epilepsy,rocket_ridge,10000,,,,7,0.9711844197138315,1.6786,2.0384,3.717,ok
Epilepsy,rocket_linear,10000,,,,7,0.9125728669846317,3.8346,2.0384,5.873,ok
Epilepsy,rocket_ridge,10000,,,,8,0.9711844197138315,1.6527,1.9592,3.6119,ok
Epilepsy,rocket_linear,10000,,,,8,0.9549019607843138,3.8878,1.9592,5.847,ok
Epilepsy,rocket_ridge,10000,,,,9,0.963831478537361,1.679,2.0203,3.6993,ok
Epilepsy,rocket_linear,10000,,,,9,0.969223635400106,3.5149,2.0203,5.5352,ok
