dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,rocket_ridge,100,,,,0,0.2357142857142857,0.1734,0.7055,0.8789,ok
HandMovementDirection,rocket_linear,100,,,,0,0.25,2.6099,0.7055,3.3154,ok
HandMovementDirection,rocket_ridge,100,,,,1,0.305952380952381,0.1923,0.1497,0.342,ok
HandMovementDirection,rocket_linear,100,,,,1,0.29642857142857143,2.4674,0.1497,2.6171,ok
HandMovementDirection,rocket_ridge,100,,,,2,0.2785714285714286,0.16,0.198,0.358,ok
HandMovementDirection,rocket_linear,100,,,,2,0.23333333333333334,2.6511,0.198,2.8491,ok
HandMovementDirection,rocket_ridge,100,,,,3,0.27738095238095234,0.1666,0.1425,0.3091,ok
HandMovementDirection,rocket_linear,100,,,,3,0.3464285714285714,2.3018,0.1425,2.4443,ok
HandMovementDirection,rocket_ridge,100,,,,4,0.2511904761904762,0.1864,0.1387,0.3251,ok
HandMovementDirection,rocket_linear,100,,,,4,0.26785714285714285,2.7826,0.1387,2.9213,ok
HandMovementDirection,rocket_ridge,100,,,,5,0.3535714285714286,0.1615,0.1952,0.3567,ok
HandMovementDirection,rocket_linear,100,,,,5,0.3392857142857143,2.5929,0.1952,2.7881,ok
HandMovementDirection,rocket_ridge,100,,,,6,0.24523809523809523,0.1504,0.1959,0.3463,ok
HandMovementDirection,rocket_linear,100,,,,6,0.26666666666666666,2.7207,0.1959,2.9166,ok
HandMovementDirection,rocket_ridge,100,,,,7,0.2595238095238095,0.1451,0.1259,0.271,ok
HandMovementDirection,rocket_linear,100,,,,7,0.27499999999999997,2.2161,0.1259,2.342,ok
HandMovementDirection,rocket_ridge,100,,,,8,0.25,0.1774,0.2458,0.4232,ok
HandMovementDirection,rocket_linear,100,,,,8,0.2952380952380952,2.2595,0.2458,2.5053,ok
HandMovementDirection,rocket_ridge,100,,,,9,0.3452380952380952,0.1616,0.2133,0.3749,ok
HandMovementDirection,rocket_linear,100,,,,9,0.31666666666666665,2.1736,0.2133,2.3869,ok
